room_dim_meter,theta_true,RSS1_dB,RSS2_dB
1,-14,-26.33255289,-36.10885019
1,-13,-26.55350427,-35.62542021
1,-12,-26.78247631,-35.15998596
1,-11,-27.02546655,-34.69521607
1,-10,-27.277053,-34.24688757
1,-9,-27.54175474,-33.80114224
1,-8,-27.81557459,-33.37048972
1,-7,-28.10159593,-32.94403249
1,-6,-28.39721624,-32.53150964
1,-5,-28.70409827,-32.12454329
1,-4,-29.02103575,-31.73052169
1,-3,-29.348251,-31.34321609
1,-2,-29.685974,-30.9680098
1,-1,-30.03292572,-30.60052092
1,0,-30.39085636,-30.2444042
1,1,-30.75687829,-29.89688694
1,2,-31.13439402,-29.56010695
1,3,-31.51875012,-29.23272362
1,4,-31.91518423,-28.91550961
1,5,-32.31706753,-28.60843504
1,6,-32.73170751,-28.31100491
1,7,-33.15023721,-28.02442931
1,8,-33.58231974,-27.74699424
1,9,-34.01653495,-27.48112424
1,10,-34.46523611,-27.223892
1,11,-34.91408455,-26.97895037
1,12,-35.37850303,-26.7421276
1,13,-35.84082244,-26.51835208
1,14,-36.31995331,-26.30214591
1,15,-36.79444266,-26.09978734
1,16,-37.28713874,-25.90440669
1,17,-37.77231635,-25.72372678
1,18,-38.27723345,-25.54938334
1,19,-38.77137837,-25.39065212
1,20,-39.28690075,-25.23756143
1,21,-39.78797457,-25.10105452
1,22,-40.31211737,-24.96943686
1,23,-40.81766479,-24.8554326
1,24,-41.3479519,-24.74551396
1,25,-41.85498181,-24.65429026
1,26,-42.38830227,-24.56630319
1,27,-42.89315777,-24.49813405
1,28,-43.42525841,-24.43231828
1,29,-43.92509809,-24.38746976
1,30,-44.44917019,-24.34407251
1,31,-44.93967668,-24.32279814
1,32,-45.44948778,-24.30296119
1,33,-45.92474346,-24.30590847
1,34,-46.41339691,-24.3101804
1,35,-46.86673125,-24.3362456
1,36,-47.32679744,-24.36474624
1,37,-47.75117721,-24.41407259
1,38,-48.1752641,-24.46706875
1,39,-48.56394064,-24.53979629
1,40,-48.94550613,-24.61751296
1,41,-49.29285082,-24.71377501
1,42,-49.62711446,-24.81638655
1,43,-49.92945549,-24.93630586
1,44,-50.21415876,-25.06392692
1,45,-50.47036076,-25.20761139
1,46,-50.70611334,-25.36028772
1,47,-50.91769067,-25.52782606
1,48,-51.10777002,-25.70552565
1,49,-51.27849458,-25.89698302
1,50,-51.42817802,-26.09958798
1,51,-51.5633365,-26.31500167
1,52,-51.67900857,-26.54230114
1,53,-51.78456389,-26.7816766
1,54,-51.8728685,-27.03336096
1,55,-51.95474802,-27.29666807
1,56,-52.02196342,-27.57232476
1,57,-52.08558714,-27.85949441
1,58,-52.13727609,-28.1586054
1,59,-52.18733081,-28.46952634
1,60,-52.22822691,-28.79146728
1,61,-52.26863019,-29.12598302
1,62,-52.30268375,-29.47002376
1,63,-52.33666554,-29.82792931
1,64,-52.36828586,-30.19323553
1,65,-52.39981057,-30.57427344
1,66,-52.43087896,-30.9610971
1,67,-52.46138715,-31.36518373
1,68,-52.4937653,-31.77264795
1,69,-52.52569305,-32.19733838
1,70,-52.56120933,-32.62482913
1,71,-52.59682115,-33.06898324
1,72,-52.63720857,-33.51593072
1,73,-52.67867955,-33.9782889
1,74,-52.72563548,-34.44402744
1,75,-52.77509532,-34.92319331
1,76,-52.83031191,-35.40692908
1,77,-52.88984955,-35.90133983
1,78,-52.95501562,-36.40210352
1,79,-53.02664287,-36.90998331
1,80,-53.10341691,-37.42656247
1,81,-53.18898704,-37.94585361
1,82,-53.27893856,-38.47669864
1,83,-53.38001261,-39.00496561
1,84,-53.48452511,-39.54806316
1,85,-53.60217397,-40.08236566
1,86,-53.72229758,-40.63507529
1,87,-53.85682254,-41.17181126
1,88,-53.99305765,-41.73066641
1,89,-54.1436065,-42.26539515
1,90,-54.29559201,-42.82588245
1,91,-54.46106325,-43.35468228
1,92,-54.62885162,-43.90731245
1,93,-54.80268652,-44.42734098
1,94,-54.97983804,-44.96319004
1,95,-55.1555549,-45.46706063
1,96,-55.33370035,-45.9776754
1,97,-55.50163797,-46.45698282
1,98,-55.6682599,-46.93332203
1,99,-55.81508089,-47.37923293
1,100,-55.95314351,-47.81252996
1,101,-56.06196574,-48.2167611
1,102,-56.15062834,-48.59971154
1,103,-56.20239454,-48.95575159
1,104,-56.21951425,-49.28374967
1,105,-56.19601045,-49.58798263
1,106,-56.12252978,-49.85998326
1,107,-56.01057059,-50.1122974
1,108,-55.83549232,-50.33094629
1,109,-55.6305509,-50.53457744
1,110,-55.3540558,-50.70554961
1,111,-55.06133793,-50.86624136
1,112,-54.69429564,-50.99707123
1,113,-54.32674546,-51.12190766
1,114,-53.88719677,-51.22074807
1,115,-53.46185888,-51.31714046
1,116,-52.97067972,-51.39325809
1,117,-52.50510099,-51.4679867
1,118,-51.98433448,-51.52791008
1,119,-51.49130833,-51.58633636
1,120,-50.96226095,-51.63520142
1,121,-50.45687682,-51.68277268
1,122,-49.9325476,-51.72478878
1,123,-49.4284023,-51.76597061
1,124,-48.91893518,-51.80458428
1,125,-48.42706982,-51.84307419
1,126,-47.9401633,-51.88117303
1,127,-47.4693056,-51.9201266
1,128,-47.01065172,-51.96023408
1,129,-46.5675274,-52.00246236
1,130,-46.14121977,-52.04689843
1,131,-45.73087256,-52.09501773
1,132,-45.33976217,-52.14601518
1,133,-44.96585391,-52.20254226
1,134,-44.61184682,-52.26231641
1,135,-44.27692435,-52.32970802
1,136,-43.96122272,-52.40047995
1,137,-43.66694668,-52.48111654
1,138,-43.39023848,-52.56508958
1,139,-43.13757444,-52.66120108
1,140,-42.90017911,-52.76048729
1,141,-42.6895544,-52.87401441
1,142,-42.49153247,-52.99050241
1,143,-42.32296312,-53.1228805
1,144,-42.1641973,-53.2580283
1,145,-42.03739008,-53.40987209
1,146,-41.91764444,-53.56439853
1,147,-41.83207813,-53.73505638
1,148,-41.75104062,-53.90849342
1,149,-41.70603012,-54.09561538
1,150,-41.66334273,-54.28649342
1,151,-41.65808841,-54.48506926
1,152,-41.65336756,-54.68713619
1,153,-41.68716535,-54.88822683
1,154,-41.72159252,-55.09181417
1,155,-41.79292185,-55.28275238
1,156,-41.86571182,-55.47315876
1,157,-41.97272884,-55.63613294
1,158,-42.08317938,-55.79320419
1,159,-42.22514811,-55.90565437
1,160,-42.37249401,-56.00493761
1,161,-42.54865589,-56.04207019
1,162,-42.73205244,-56.05851646
1,163,-42.94158497,-55.99840852
1,164,-43.16007388,-55.91243113
1,165,-43.40203289,-55.74233761
1,166,-43.65448753,-55.54578213
1,167,-43.9277299,-55.2663065
1,168,-44.21277691,-54.96477887
1,169,-44.51586009,-54.58922202
1,170,-44.83177413,-54.19942327
1,171,-45.16282916,-53.74906181
1,172,-45.50739837,-53.29333542
1,173,-45.86397398,-52.79185909
1,174,-46.23433464,-52.29318993
1,175,-46.61321204,-51.76279453
1,176,-47.00565373,-51.24183562
1,177,-47.40263556,-50.70142117
1,178,-47.81238276,-50.17535711
1,179,-48.22206682,-49.64014126
1,180,-48.6430516,-49.12260995
2,-180,-55.04338532,-55.60769924
2,-179,-55.47191824,-55.09127829
2,-178,-55.88213198,-54.56781953
2,-177,-56.30488097,-54.06822312
2,-176,-56.70089568,-53.57075201
2,-175,-57.10699588,-53.09614289
2,-174,-57.47748943,-52.63132572
2,-173,-57.8548465,-52.18771822
2,-172,-58.18780538,-51.76027585
2,-171,-58.52386948,-51.35196245
2,-170,-58.80765645,-50.96508735
2,-169,-59.09070379,-50.59501053
2,-168,-59.31557097,-50.25071684
2,-167,-59.53638117,-49.9207803
2,-166,-59.69615237,-49.62018862
2,-165,-59.84967963,-49.33151006
2,-164,-59.94306308,-49.07507369
2,-163,-60.02949034,-48.82818545
2,-162,-60.06044773,-48.61586668
2,-161,-60.085131,-48.41087234
2,-160,-60.0620705,-48.24227795
2,-159,-60.03435237,-48.07897306
2,-158,-59.96845085,-47.95345735
2,-157,-59.89982763,-47.83142176
2,-156,-59.80312334,-47.74816423
2,-155,-59.70542566,-47.66683228
2,-154,-59.58925797,-47.6248952
2,-153,-59.47330785,-47.58360843
2,-152,-59.34736602,-47.5819785
2,-151,-59.22224372,-47.58059338
2,-150,-59.0941924,-47.61827873
2,-149,-58.9673034,-47.6563584
2,-148,-58.84316689,-47.73145131
2,-147,-58.71974176,-47.80811554
2,-146,-58.60292875,-47.91954238
2,-145,-58.48666156,-48.03394349
2,-144,-58.37951491,-48.18063915
2,-143,-58.27282929,-48.33187147
2,-142,-58.17664201,-48.51275918
2,-141,-58.08091437,-48.69983654
2,-140,-57.99620795,-48.9137938
2,-139,-57.9120366,-49.13561018
2,-138,-57.83878888,-49.38141887
2,-137,-57.76621555,-49.63668969
2,-136,-57.70403836,-49.91296816
2,-135,-57.64272158,-50.20014962
2,-134,-57.59099212,-50.50526478
2,-133,-57.54033498,-50.82244904
2,-132,-57.49828476,-51.15440627
2,-131,-57.45751889,-51.49919122
2,-130,-57.42428191,-51.85550093
2,-129,-57.39250759,-52.22483516
2,-128,-57.36712641,-52.60235656
2,-127,-57.34330531,-52.99236273
2,-126,-57.32469038,-53.38712838
2,-125,-57.30758408,-53.79291381
2,-124,-57.29441772,-54.19994434
2,-123,-57.28246118,-54.61541517
2,-122,-57.27303455,-55.02854258
2,-121,-57.26413109,-55.44625098
2,-120,-57.2561012,-55.85798357
2,-119,-57.24732569,-56.26905606
2,-118,-57.23738332,-56.6705393
2,-117,-57.22459014,-57.06475917
2,-116,-57.20804669,-57.44591316
2,-115,-57.18540717,-57.81205539
2,-114,-57.15575014,-58.16199225
2,-113,-57.11530636,-58.48851619
2,-112,-57.06385271,-58.79633279
2,-111,-56.99528058,-59.07248916
2,-110,-56.91117466,-59.32845234
2,-109,-56.80207766,-59.54571906
2,-108,-56.67298,-59.74268584
2,-107,-56.51008556,-59.8962241
2,-106,-56.32384016,-60.03092148
2,-105,-56.09525312,-60.12056419
2,-104,-55.84242268,-60.19425112
2,-103,-55.54048736,-60.22458758
2,-102,-55.21695862,-60.24278819
2,-101,-54.84057746,-60.2222509
2,-100,-54.44898688,-60.19363693
2,-99,-54.00416267,-60.13292685
2,-98,-53.55332059,-60.06777465
2,-97,-53.05160075,-59.97817839
2,-96,-52.5542404,-59.88690364
2,-95,-52.00994316,-59.77895704
2,-94,-51.47997584,-59.67105425
2,-93,-50.9075089,-59.55374069
2,-92,-50.35787304,-59.43720816
2,-91,-49.76997119,-59.31764897
2,-90,-49.21148978,-59.19881279
2,-89,-48.61922073,-59.08301082
2,-88,-48.05851856,-58.96756566
2,-87,-47.47157453,-58.85823987
2,-86,-46.91453036,-58.74908334
2,-85,-46.33833003,-58.64833376
2,-84,-45.78980573,-58.54781977
2,-83,-45.22811077,-58.45684249
2,-82,-44.69161558,-58.36634455
2,-81,-44.146972,-58.2856647
2,-80,-43.6250197,-58.20581952
2,-79,-43.0991119,-58.13548299
2,-78,-42.59350282,-58.06639343
2,-77,-42.08741882,-58.00611746
2,-76,-41.59945023,-57.94751355
2,-75,-41.11387252,-57.89679983
2,-74,-40.64449017,-57.84815984
2,-73,-40.17982989,-57.80637324
2,-72,-39.72973519,-57.76700684
2,-71,-39.28622518,-57.73342175
2,-70,-38.85595014,-57.70251592
2,-69,-38.43370903,-57.67632977
2,-68,-38.02366846,-57.65295581
2,-67,-37.62274469,-57.6332666
2,-66,-37.23327259,-57.61634392
2,-65,-36.85367458,-57.60208605
2,-64,-36.48504939,-57.5902955
2,-63,-36.12676621,-57.58012522
2,-62,-35.7792283,-57.57176209
2,-61,-35.44224373,-57.56388206
2,-60,-35.11600744,-57.55663789
2,-59,-34.80030931,-57.5485514
