rd,x,z,anchor,pkt_idx,theta1_true,theta2_true,rss_db_1,fp_db_1,quality_1,f1_1,f2_1,f3_1,N1,rss_db_2,fp_db_2,quality_2,f1_2,f2_2,f3_2,N2
2.25,0.225,-2.025,2,1,0.380506377,-0.5404195,-72.2,-92.15,97.37,2118,1558,1116,237,-69.18,-74.99,153.29,4303,4292,3602,232
2.25,0.225,-2.025,2,2,0.380506377,-0.5404195,-72.27,-91.54,92.31,2266,1477,1138,227,-69.93,-77.3,206.55,4412,4131,3067,241
2.25,0.225,-2.025,2,3,0.380506377,-0.5404195,-69.25,-89.1,108.8,2986,2176,1679,237,-70.29,-76.28,167.71,3864,4025,3913,234
2.25,0.225,-2.025,2,4,0.380506377,-0.5404195,-72.29,-91.87,73.65,2319,1473,1175,240,-68.64,-75.83,188.46,4601,4523,3172,243
2.25,0.225,-2.025,2,5,0.380506377,-0.5404195,-72.63,-91.31,101.75,2147,1628,1378,228,-70.37,-76.89,196,4204,3920,3557,237
2.25,0.225,-2.025,2,6,0.380506377,-0.5404195,-71.99,-92.65,123.5,2057,1482,946,238,-68.94,-75.66,184.5,4546,4428,3340,241
2.25,0.225,-2.025,2,7,0.380506377,-0.5404195,-72.47,-90.7,104.37,2641,1670,1353,239,-69.22,-74.91,156.36,4390,4378,3734,237
2.25,0.225,-2.025,2,8,0.380506377,-0.5404195,-72.62,-91.67,80,2266,1600,1225,238,-70.17,-76.51,196.3,4159,3926,3269,228
2.25,0.225,-2.025,2,9,0.380506377,-0.5404195,-72.63,-91.57,92.37,2316,1478,1237,234,-69.88,-75.56,185.67,4259,4456,3712,241
2.25,0.225,-2.025,2,10,0.380506377,-0.5404195,-72.39,-91.73,74.3,2226,1486,1106,229,-69.2,-74.43,155.25,4397,4347,3816,234
2.25,0.225,-2.025,2,11,0.380506377,-0.5404195,-71.86,-92.16,96.94,2193,1551,1066,240,-68.69,-74.65,139.78,4417,4473,3715,237
2.25,0.225,-2.025,2,12,0.380506377,-0.5404195,-71.66,-92.96,117.92,1842,1415,986,230,-69.2,-74.43,135.34,4365,4331,3929,235
2.25,0.225,-2.025,2,13,0.380506377,-0.5404195,-72.86,-90.83,103.94,2442,1663,1262,229,-69.1,-76.33,181.25,4399,4350,3102,238
2.25,0.225,-2.025,2,14,0.380506377,-0.5404195,-71.78,-91.7,74.1,2399,1482,1183,241,-70,-77.51,151.68,4253,4247,2766,237
2.25,0.225,-2.025,2,15,0.380506377,-0.5404195,-72.82,-91.13,86.5,2270,1730,1412,235,-69.16,-75.53,132.25,4256,4232,3416,231
2.25,0.225,-2.025,2,16,0.380506377,-0.5404195,-72.07,-91.68,93.56,2234,1497,1155,230,-70.4,-78.05,108.44,4009,3904,3128,234
2.25,0.225,-2.025,2,17,0.380506377,-0.5404195,-71.46,-90.2,116.12,2626,1858,1378,232,-69.95,-76.46,122.72,4183,3927,3262,228
2.25,0.225,-2.025,2,18,0.380506377,-0.5404195,-71.6,-91.57,99,2444,1584,1042,240,-68.71,-74.85,220.25,4390,4405,3611,235
2.25,0.225,-2.025,2,19,0.380506377,-0.5404195,-71.76,-93.24,77.69,1919,1243,895,231,-68.98,-75.21,154.96,4328,4339,3471,233
2.25,0.225,-2.025,2,20,0.380506377,-0.5404195,-70.1,-90.35,113.69,2489,1819,1346,227,-70.35,-76.37,170.75,3756,4098,3906,234
2.25,0.225,-2.025,2,21,0.380506377,-0.5404195,-71.47,-92.97,91.69,1927,1467,943,237,-68.95,-74.4,153.5,4311,4298,3809,231
2.25,0.225,-2.025,2,22,0.380506377,-0.5404195,-71.83,-92.41,93.62,2108,1498,927,235,-69.16,-74.67,180.25,4286,4326,3553,229
2.25,0.225,-2.025,2,23,0.380506377,-0.5404195,-72.2,-93.16,116.75,1784,1401,883,227,-68.95,-75.14,184.33,4467,4424,3407,236
2.25,0.225,-2.025,2,24,0.380506377,-0.5404195,-72.73,-94.04,79.25,1730,1268,738,234,-69.51,-76.51,146.86,4347,4112,3087,233
2.25,0.225,-2.025,2,25,0.380506377,-0.5404195,-71.48,-91.24,131.33,2381,1576,1110,229,-70.64,-80.37,148.25,4001,3558,2207,229
2.25,0.225,-2.025,2,26,0.380506377,-0.5404195,-71.4,-90.14,118.37,2558,1894,1474,231,-69.1,-74.93,219.65,4462,4393,3618,237
2.25,0.225,-2.025,2,27,0.380506377,-0.5404195,-71.4,-91.25,127.83,2399,1534,1225,232,-69.35,-76.43,149.5,4221,4186,2883,228
2.25,0.225,-2.025,2,28,0.380506377,-0.5404195,-71.46,-91.21,130.67,2437,1568,1106,231,-70.41,-76.53,129.66,3864,4149,3621,233
2.25,0.225,-2.025,2,29,0.380506377,-0.5404195,-71.97,-91.21,102.19,2498,1635,1211,240,-69.23,-76.98,169.96,4337,4079,2773,231
2.25,0.225,-2.025,2,30,0.380506377,-0.5404195,-72.53,-92.58,73.45,2155,1469,912,241,-68.94,-76.14,123.08,4460,4431,3132,240
2.25,0.225,-1.575,2,1,0.463647609,-0.643501109,-69.37,-77.7,210.25,4184,4205,3082,241,-73.14,-83.49,131.86,3406,3692,2230,242
2.25,0.225,-1.575,2,2,0.463647609,-0.643501109,-69.64,-79.19,240.75,4030,3852,2867,238,-74.66,-85.28,173.85,2540,3477,2697,238
2.25,0.225,-1.575,2,3,0.463647609,-0.643501109,-67.03,-76.87,258.5,3962,4136,3600,237,-72.96,-83.23,133.29,2561,3732,3042,238
2.25,0.225,-1.575,2,4,0.463647609,-0.643501109,-69.32,-77.22,206.95,3430,4139,3922,236,-74.23,-85.55,118.32,2590,3313,2727,237
2.25,0.225,-1.575,2,5,0.463647609,-0.643501109,-68.96,-76.25,251.63,3553,4026,3871,227,-74.75,-85.9,201.63,2928,3226,2077,231
2.25,0.225,-1.575,2,6,0.463647609,-0.643501109,-70,-77.49,246.25,3960,3940,3759,241,-72.5,-82.56,156.21,2609,3749,3166,237
2.25,0.225,-1.575,2,7,0.463647609,-0.643501109,-70.06,-79.08,202.75,3671,4055,2836,233,-73.39,-84.4,125.93,1780,3526,3406,237
2.25,0.225,-1.575,2,8,0.463647609,-0.643501109,-69.19,-78.55,248.5,3893,3976,2657,229,-73.16,-83.44,151,2455,3624,2988,233
2.25,0.225,-1.575,2,9,0.463647609,-0.643501109,-68.76,-76.79,265.19,3962,4243,3452,236,-73.09,-83.86,149.29,1887,3583,3300,233
2.25,0.225,-1.575,2,10,0.463647609,-0.643501109,-69.77,-77.05,240.69,3742,3851,3852,233,-74.08,-84.05,178.9,2537,3578,2856,235
2.25,0.225,-1.575,2,11,0.463647609,-0.643501109,-69.4,-78.11,254.25,4029,4068,2855,234,-73.33,-83.01,191.25,2504,3825,3129,240
2.25,0.225,-1.575,2,12,0.463647609,-0.643501109,-70.37,-78.98,196.95,3606,3939,2953,230,-74,-84.34,148.75,2298,3570,3008,236
2.25,0.225,-1.575,2,13,0.463647609,-0.643501109,-69.05,-78.35,201.3,4042,4026,2780,234,-73.75,-83.72,182.65,2402,3653,3063,237
2.25,0.225,-1.575,2,14,0.463647609,-0.643501109,-69.7,-77.97,210.25,3917,4205,3344,242,-73.29,-83.42,133.07,3199,3726,2494,242
2.25,0.225,-1.575,2,15,0.463647609,-0.643501109,-69.76,-77.13,202.8,3933,4056,3765,240,-73.05,-82.81,188.95,3051,3779,2699,239
2.25,0.225,-1.575,2,16,0.463647609,-0.643501109,-70.27,-79.16,233.13,4006,3730,3125,239,-73.37,-83.49,174.25,3243,3485,2093,229
2.25,0.225,-1.575,2,17,0.463647609,-0.643501109,-69.1,-76.8,260.75,3802,4172,3653,235,-73.59,-83.57,175,3311,3500,2038,231
2.25,0.225,-1.575,2,18,0.463647609,-0.643501109,-68.95,-78.28,208.4,4094,4168,2650,236,-73.33,-82.89,184.15,2736,3683,2806,232
2.25,0.225,-1.575,2,19,0.463647609,-0.643501109,-69.89,-81.15,229,3991,3664,2231,238,-73.02,-82.61,191.2,3171,3824,2621,240
2.25,0.225,-1.575,2,20,0.463647609,-0.643501109,-69.12,-76.99,263.5,3934,4216,3312,234,-73.64,-83.36,236.88,2540,3790,3108,242
2.25,0.225,-1.575,2,21,0.463647609,-0.643501109,-70.44,-81.25,235.63,3684,3770,2209,233,-73.57,-84.01,185.45,2080,3709,3325,242
2.25,0.225,-1.575,2,22,0.463647609,-0.643501109,-69.32,-76.31,260,3816,4160,3961,237,-74.33,-85.74,164.6,2361,3292,2821,235
2.25,0.225,-1.575,2,23,0.463647609,-0.643501109,-68.7,-77.03,206.4,3865,4128,3319,231,-73.19,-83.2,156.79,2524,3763,3043,238
2.25,0.225,-1.575,2,24,0.463647609,-0.643501109,-69.35,-77.05,345.42,3587,4145,3692,233,-74.9,-86.61,203.19,1932,3251,3006,237
2.25,0.225,-1.575,2,25,0.463647609,-0.643501109,-70.52,-78.61,241.69,3851,3867,2961,231,-73.05,-83.51,234.88,2340,3758,3172,240
2.25,0.225,-1.575,2,26,0.463647609,-0.643501109,-69.33,-76.71,260.5,3664,4168,3729,233,-73.64,-84.25,226,3328,3616,2065,241
2.25,0.225,-1.575,2,27,0.463647609,-0.643501109,-70.43,-80.33,200.2,3816,4004,2641,242,-73.95,-84.53,127.96,2623,3583,2690,237
2.25,0.225,-1.575,2,28,0.463647609,-0.643501109,-70.3,-79.11,186.65,3969,3733,2862,233,-73.84,-84.12,222.75,2527,3564,2778,233
2.25,0.225,-1.575,2,29,0.463647609,-0.643501109,-70.37,-77.4,233.81,3682,3741,3834,232,-73.64,-83.92,177.15,2079,3543,3172,232
2.25,0.225,-1.575,2,30,0.463647609,-0.643501109,-68.9,-78.25,257,4006,4112,2755,234,-74.58,-85.41,165.55,2696,3311,2245,227
2.25,0.225,-1.125,2,1,0.588002604,-0.785398163,-67.92,-78.68,249,4290,3984,2536,238,-66.1,-75.53,136.25,3862,4360,4137,239
2.25,0.225,-1.125,2,2,0.588002604,-0.785398163,-67.63,-76.53,359,4473,4308,3010,239,-66.09,-75.87,138.13,3788,4420,3945,238
2.25,0.225,-1.125,2,3,0.588002604,-0.785398163,-67.27,-76.15,277,4437,4432,3348,243,-66.51,-76.45,133.5,4144,4272,3298,235
2.25,0.225,-1.125,2,4,0.588002604,-0.785398163,-67.08,-77.93,250.88,4326,4014,2362,231,-66.14,-78.16,189.85,4104,3797,2734,228
2.25,0.225,-1.125,2,5,0.588002604,-0.785398163,-67.71,-75.65,251.25,4154,4020,3556,228,-67.22,-78.37,116.62,4197,3732,3117,237
2.25,0.225,-1.125,2,6,0.588002604,-0.785398163,-67.09,-77.54,249.94,4246,3999,2529,228,-66.09,-78.04,121.25,4172,3880,2636,229
2.25,0.225,-1.125,2,7,0.588002604,-0.785398163,-68.95,-78.56,311.33,4081,3736,3068,235,-66,-75.07,132.84,4123,4251,3928,234
2.25,0.225,-1.125,2,8,0.588002604,-0.785398163,-68.45,-79.26,189.45,4047,3789,2406,230,-65.72,-77.24,169.79,4238,4075,2658,229
2.25,0.225,-1.125,2,9,0.588002604,-0.785398163,-68.44,-76.21,272.75,3721,4364,3874,237,-66.7,-76.6,108.53,4121,3907,3298,228
2.25,0.225,-1.125,2,10,0.588002604,-0.785398163,-68.02,-77.52,200.1,4274,4002,2630,230,-67.15,-77.57,132.64,4168,3714,3366,234
2.25,0.225,-1.125,2,11,0.588002604,-0.785398163,-67.92,-76.75,259.31,4017,4149,3175,230,-66.68,-76.05,130.16,4079,4165,3636,234
2.25,0.225,-1.125,2,12,0.588002604,-0.785398163,-69.03,-79.27,245.5,3866,3928,2663,233,-66.31,-77.01,171.38,4102,4113,2928,229
2.25,0.225,-1.125,2,13,0.588002604,-0.785398163,-67.61,-75.92,269.63,4363,4314,3467,239,-66.02,-75.03,153.11,4114,4287,3917,234
2.25,0.225,-1.125,2,14,0.588002604,-0.785398163,-66.95,-74.47,270.13,4133,4322,3940,231,-65.63,-74.72,118.36,4105,4261,3924,231
2.25,0.225,-1.125,2,15,0.588002604,-0.785398163,-68.28,-78.65,190.65,4141,3813,2786,234,-66.09,-77.29,179.75,4310,4314,2963,241
2.25,0.225,-1.125,2,16,0.588002604,-0.785398163,-68.21,-79.06,242.88,4109,3886,2319,231,-66.18,-76.28,170.71,4230,4097,3314,232
2.25,0.225,-1.125,2,17,0.588002604,-0.785398163,-69.17,-78.65,245.25,3918,3924,3062,236,-66.62,-75.96,175.63,4155,4215,4021,243
2.25,0.225,-1.125,2,18,0.588002604,-0.785398163,-68.47,-78.77,329.25,4258,3951,2847,242,-66.43,-76.52,206.7,4219,4134,3287,234
2.25,0.225,-1.125,2,19,0.588002604,-0.785398163,-67.34,-75.32,211.7,4193,4234,3643,232,-66.29,-76.39,172.33,4113,4136,3183,229
2.25,0.225,-1.125,2,20,0.588002604,-0.785398163,-68.83,-77.54,232.38,4021,3718,3337,230,-66.02,-74.88,123.64,4269,4451,4087,242
2.25,0.225,-1.125,2,21,0.588002604,-0.785398163,-67.15,-74.73,271.81,4200,4349,3893,234,-66.37,-75.52,176.33,3845,4232,3981,233
2.25,0.225,-1.125,2,22,0.588002604,-0.785398163,-67.91,-78.29,246,4254,3936,2614,234,-66.3,-78.48,159.58,4170,3830,2678,232
2.25,0.225,-1.125,2,23,0.588002604,-0.785398163,-68.33,-78.28,257.69,4489,4123,2400,241,-65.57,-74.99,216.15,4104,4323,4070,237
2.25,0.225,-1.125,2,24,0.588002604,-0.785398163,-68.35,-77.77,245.56,4258,3929,3301,241,-65.92,-75,135.5,4201,4336,3722,233
2.25,0.225,-1.125,2,25,0.588002604,-0.785398163,-68.71,-77.37,244,4235,3904,3484,240,-67,-76.55,129.47,4195,4143,3632,240
2.25,0.225,-1.125,2,26,0.588002604,-0.785398163,-67.59,-77.36,214.95,4333,4299,2914,241,-66.37,-76.21,211.15,4229,4223,3311,234
2.25,0.225,-1.125,2,27,0.588002604,-0.785398163,-68.69,-81.76,226.13,4018,3618,2056,240,-66.49,-78.38,173.25,4273,4158,2522,239
2.25,0.225,-1.125,2,28,0.588002604,-0.785398163,-68.59,-78.3,240.13,4183,3842,3146,239,-66.04,-75.02,179.42,4184,4306,3826,234
2.25,0.225,-1.125,2,29,0.588002604,-0.785398163,-67.95,-77.81,260.75,4321,4172,2678,238,-67.26,-78.4,183.2,4084,3664,3000,231
2.25,0.225,-1.125,2,30,0.588002604,-0.785398163,-67.87,-77.81,255.31,4251,4085,2582,233,-65.95,-74.94,212.5,4059,4250,3887,231
2.25,0.225,-0.675,2,1,0.785398163,-0.982793723,-71.91,-78.39,250.13,3996,4002,3090,238,-64.96,-79.42,136.75,4072,3829,2605,236
2.25,0.225,-0.675,2,2,0.785398163,-0.982793723,-72.6,-80.65,185.2,3810,3704,2590,236,-63.86,-75.97,181.5,4466,4356,2992,235
2.25,0.225,-0.675,2,3,0.785398163,-0.982793723,-72.59,-79.06,244.31,3669,3909,3355,239,-64.13,-73.69,120.44,4226,4336,4011,228
2.25,0.225,-0.675,2,4,0.785398163,-0.982793723,-72.04,-80.84,224.19,3988,3587,2134,232,-63.77,-75.04,124.11,4480,4468,3694,241
2.25,0.225,-0.675,2,5,0.785398163,-0.982793723,-71.98,-79.48,244.81,4141,3917,2646,241,-63.23,-74.01,134,4327,4288,3806,228
2.25,0.225,-0.675,2,6,0.785398163,-0.982793723,-71.97,-78.21,254.56,3538,4073,3647,239,-64.34,-74.49,135.06,4345,4322,3698,231
2.25,0.225,-0.675,2,7,0.785398163,-0.982793723,-71.42,-77.59,210.5,3593,4210,3790,241,-64.08,-75.07,151.07,4450,4230,3873,239
2.25,0.225,-0.675,2,8,0.785398163,-0.982793723,-71.6,-79.58,321.33,4120,3856,2597,239,-64.58,-76.78,116.81,4234,4205,3043,234
2.25,0.225,-0.675,2,9,0.785398163,-0.982793723,-72.99,-80.05,194.05,3258,3881,3509,241,-63.92,-75.05,177.96,4381,4271,3505,232
2.25,0.225,-0.675,2,10,0.785398163,-0.982793723,-69.81,-77.36,246.63,4016,3946,3433,235,-63.91,-74.81,111.62,4567,4465,3767,242
2.25,0.225,-0.675,2,11,0.785398163,-0.982793723,-73.02,-79.76,311,3502,3732,3216,234,-63.42,-73.74,134.91,4337,4317,3947,229
2.25,0.225,-0.675,2,12,0.785398163,-0.982793723,-71.67,-80.04,231.5,4041,3704,2337,233,-64.21,-76.4,136.03,4451,4353,2982,238
2.25,0.225,-0.675,2,13,0.785398163,-0.982793723,-73.72,-82.94,208.44,3396,3335,2332,229,-64.1,-77.61,203.9,4357,4078,2309,230
2.25,0.225,-0.675,2,14,0.785398163,-0.982793723,-72.01,-77.95,200.85,3595,4017,3462,233,-63.72,-76.15,150,4312,4200,2805,227
2.25,0.225,-0.675,2,15,0.785398163,-0.982793723,-72.86,-81.26,221.06,3633,3537,2413,229,-64.11,-75.24,126.72,4249,4055,3647,229
2.25,0.225,-0.675,2,16,0.785398163,-0.982793723,-71.7,-77.78,250.13,3537,4002,3554,232,-63.72,-75.82,185.33,4592,4448,3162,241
2.25,0.225,-0.675,2,17,0.785398163,-0.982793723,-71.73,-80.25,229.5,4072,3672,2224,233,-64.61,-78.63,122.72,4173,3927,2894,239
2.25,0.225,-0.675,2,18,0.785398163,-0.982793723,-71.94,-80.01,243.75,4194,3900,2498,244,-64.37,-74.27,123.89,4372,4460,4081,239
2.25,0.225,-0.675,2,19,0.785398163,-0.982793723,-71.69,-77.91,247.25,3799,3956,3165,230,-65.21,-78.31,139.18,3838,3897,2900,228
2.25,0.225,-0.675,2,20,0.785398163,-0.982793723,-71.77,-78.79,245.5,3924,3928,2928,235,-65.06,-78.89,159.88,3886,3837,2586,227
2.25,0.225,-0.675,2,21,0.785398163,-0.982793723,-72.95,-80.48,241.81,3710,3869,2959,243,-63.56,-74.96,220.35,4495,4407,3486,236
2.25,0.225,-0.675,2,22,0.785398163,-0.982793723,-71.87,-77.84,254.88,3577,4078,3607,236,-64.24,-77.01,175.58,4392,4214,2667,234
2.25,0.225,-0.675,2,23,0.785398163,-0.982793723,-72.69,-79.99,300.92,3830,3611,2591,229,-65.29,-79.6,104.42,3732,3759,2646,228
2.25,0.225,-0.675,2,24,0.785398163,-0.982793723,-72.01,-78.39,239.88,3780,3838,2961,227,-64.23,-74.25,186.38,4457,4473,3983,239
2.25,0.225,-0.675,2,25,0.785398163,-0.982793723,-71.7,-77.83,207.75,3898,4155,3488,242,-64.28,-73.84,110.9,4473,4436,4030,236
2.25,0.225,-0.675,2,26,0.785398163,-0.982793723,-72.26,-80.05,231.13,3961,3698,2475,233,-64.09,-74.48,119.28,4264,4294,3588,227
2.25,0.225,-0.675,2,27,0.785398163,-0.982793723,-72.07,-79.5,234.56,4002,3753,2478,231,-64.05,-73.9,110.57,4451,4423,3921,234
2.25,0.225,-0.675,2,28,0.785398163,-0.982793723,-72.77,-79.23,314.25,3629,3771,3141,232,-65.15,-78.93,140.07,3910,3922,2773,233
2.25,0.225,-0.675,2,29,0.785398163,-0.982793723,-73.14,-81.2,230.94,3605,3695,2955,242,-64.82,-79.37,163.83,4022,3932,2494,235
2.25,0.225,-0.675,2,30,0.785398163,-0.982793723,-73.47,-80.37,226.38,3217,3622,3082,227,-64.4,-78.81,163.38,4152,3921,2529,234
2.25,0.225,-0.225,2,1,1.107148718,-1.249045772,-90.62,-93.33,76.5,1657,1530,1111,239,-82.17,-87.33,147.85,2933,2957,1891,230
2.25,0.225,-0.225,2,2,1.107148718,-1.249045772,-92.57,-103.52,21.67,703,260,194,238,-80.48,-84.4,162.85,2828,3257,2605,229
2.25,0.225,-0.225,2,3,1.107148718,-1.249045772,-92.46,-95.42,73,1358,1168,753,235,-80.16,-84.48,209.56,3323,3353,2180,237
2.25,0.225,-0.225,2,4,1.107148718,-1.249045772,-92.49,-94.92,106.75,1236,1281,1051,236,-79.16,-83.43,145.83,3349,3500,2370,237
2.25,0.225,-0.225,2,5,1.107148718,-1.249045772,-92.68,-95.05,75.75,1269,1212,891,228,-79.31,-82.97,179.75,3167,3595,2752,239
2.25,0.225,-0.225,2,6,1.107148718,-1.249045772,-92.4,-95.79,68.12,1219,1090,709,225,-79.47,-83.62,181.35,2413,3627,3233,240
2.25,0.225,-0.225,2,7,1.107148718,-1.249045772,-92.88,-96.22,85,1116,1020,755,224,-79.5,-83.07,151.38,2999,3633,2940,241
2.25,0.225,-0.225,2,8,1.107148718,-1.249045772,-92.49,-94.84,108.08,1183,1297,1127,236,-79.36,-84.78,137.54,3626,3301,1949,243
2.25,0.225,-0.225,2,9,1.107148718,-1.249045772,-92.34,-94.81,78.19,1280,1251,1053,234,-79.65,-83.74,167.3,3216,3346,2246,229
2.25,0.225,-0.225,2,10,1.107148718,-1.249045772,-92.61,-95,74.06,1261,1185,886,224,-79.8,-83.84,169.15,3342,3383,2222,234
2.25,0.225,-0.225,2,11,1.107148718,-1.249045772,-93,-95.73,69.56,1213,1113,963,239,-80.4,-84.12,170.6,2431,3412,3117,235
2.25,0.225,-0.225,2,12,1.107148718,-1.249045772,-92.61,-96.03,66.31,1310,1061,661,235,-79.36,-84.01,205.25,3306,3284,2034,228
2.25,0.225,-0.225,2,13,1.107148718,-1.249045772,-92.38,-95.22,77.56,1275,1241,887,235,-81.11,-85.55,134.5,2605,3228,2925,240
2.25,0.225,-0.225,2,14,1.107148718,-1.249045772,-92.57,-95.71,95.83,1327,1150,694,236,-79.53,-84.38,138.71,3416,3329,2061,236
2.25,0.225,-0.225,2,15,1.107148718,-1.249045772,-91.45,-93.87,88.62,1338,1418,1109,227,-79.8,-84.1,168.9,3389,3378,2205,237
2.25,0.225,-0.225,2,16,1.107148718,-1.249045772,-92.71,-95,77.69,1228,1243,985,231,-80.03,-84.08,180.4,2566,3608,3104,243
2.25,0.225,-0.225,2,17,1.107148718,-1.249045772,-93.03,-94.86,105.08,1176,1261,1034,228,-80.27,-84.2,170.1,2769,3402,2888,237
2.25,0.225,-0.225,2,18,1.107148718,-1.249045772,-92.5,-94.78,81.75,1235,1308,1052,234,-79.55,-83.25,217,3181,3472,2459,232
2.25,0.225,-0.225,2,19,1.107148718,-1.249045772,-92.5,-95.07,79.25,1307,1268,862,234,-80.11,-84.91,135.75,3271,3258,2068,234
2.25,0.225,-0.225,2,20,1.107148718,-1.249045772,-90.95,-93.16,124.33,1532,1492,1122,225,-79.83,-83.94,148.29,2396,3559,3332,243
2.25,0.225,-0.225,2,21,1.107148718,-1.249045772,-92.7,-95.22,72.44,1238,1159,1005,233,-82.3,-88.02,140.25,2875,2805,1793,227
2.25,0.225,-0.225,2,22,1.107148718,-1.249045772,-92.94,-95.47,73.5,1177,1176,865,228,-79.68,-83.53,176.9,2414,3538,3207,236
2.25,0.225,-0.225,2,23,1.107148718,-1.249045772,-92.35,-95.46,94.33,1343,1132,749,232,-80.1,-83.8,170,2982,3400,2500,230
2.25,0.225,-0.225,2,24,1.107148718,-1.249045772,-93.15,-96.39,66.56,1108,1065,747,231,-82.5,-86.79,155.05,2300,3101,2536,228
2.25,0.225,-0.225,2,25,1.107148718,-1.249045772,-92.53,-94.74,79.56,1231,1273,1130,235,-79.7,-83.27,224.38,3061,3590,2764,239
2.25,0.225,-0.225,2,26,1.107148718,-1.249045772,-92.65,-94.75,109.5,1214,1314,1117,236,-79.99,-83.52,215.44,2898,3447,2635,230
2.25,0.225,-0.225,2,27,1.107148718,-1.249045772,-92.56,-95.03,100.5,1305,1206,835,227,-79.67,-83.58,171.1,3250,3422,2353,233
2.25,0.225,-0.225,2,28,1.107148718,-1.249045772,-92.42,-94.93,103.92,1304,1247,1004,236,-80.86,-85.22,141.92,2089,3406,3119,237
2.25,0.225,-0.225,2,29,1.107148718,-1.249045772,-92.84,-95.45,76.19,1280,1219,868,239,-79.67,-83.78,174.05,3375,3481,2367,240
2.25,0.225,-0.225,2,30,1.107148718,-1.249045772,-92.8,-95.33,79.12,1120,1266,1049,238,-82.78,-87.12,131.96,2677,3167,2393,239
2.25,0.675,-2.025,2,1,0.19739556,-0.674740942,-66.85,-77.56,237.75,4121,3804,3326,234,-65.5,-76.17,116.78,3976,4204,3969,240
2.25,0.675,-2.025,2,2,0.19739556,-0.674740942,-66.02,-77.15,252.38,4075,4038,3292,234,-64.5,-76.81,119.64,4487,4307,2394,233
2.25,0.675,-2.025,2,3,0.19739556,-0.674740942,-66.35,-79.29,240.94,4084,3855,2616,236,-63.67,-73.09,166.54,4695,4663,4321,243
2.25,0.675,-2.025,2,4,0.19739556,-0.674740942,-66.18,-75.95,242.94,4040,3887,3755,229,-64.32,-73.33,128.03,4639,4609,4258,242
2.25,0.675,-2.025,2,5,0.19739556,-0.674740942,-66.83,-77.72,208.7,3536,4174,3217,229,-64.3,-75.77,182.21,4561,4373,3272,240
2.25,0.675,-2.025,2,6,0.19739556,-0.674740942,-65.87,-75.99,264.38,4188,4230,3338,232,-63.95,-76.92,132.97,4496,4255,2625,236
2.25,0.675,-2.025,2,7,0.19739556,-0.674740942,-65.9,-75.66,267.5,3950,4280,3816,234,-63.9,-75.89,142.69,4592,4566,3089,243
2.25,0.675,-2.025,2,8,0.19739556,-0.674740942,-66.9,-78.67,253,3701,4048,2761,229,-63.67,-75.69,119.17,4384,4290,2886,228
2.25,0.675,-2.025,2,9,0.19739556,-0.674740942,-66.2,-76.32,261.63,3966,4186,3505,232,-63.8,-75.73,139.78,4552,4473,3030,238
2.25,0.675,-2.025,2,10,0.19739556,-0.674740942,-66.33,-78.27,323.75,3873,3885,2887,228,-64.14,-75.83,116.06,4382,4178,3041,229
2.25,0.675,-2.025,2,11,0.19739556,-0.674740942,-66.14,-76.22,256.31,3913,4101,3485,228,-63.8,-75.76,138.56,4543,4434,3017,237
2.25,0.675,-2.025,2,12,0.19739556,-0.674740942,-66.63,-79.1,203.4,3681,4068,2613,230,-64.9,-75.5,103.97,3940,4159,3760,229
2.25,0.675,-2.025,2,13,0.19739556,-0.674740942,-66.49,-77.72,308.5,4240,3702,3331,236,-65.09,-75.48,120.33,4084,4332,3971,239
2.25,0.675,-2.025,2,14,0.19739556,-0.674740942,-66.03,-77.17,244.63,4024,3914,3271,230,-63.85,-73.25,109.15,4488,4366,4191,233
2.25,0.675,-2.025,2,15,0.19739556,-0.674740942,-66.39,-76.49,268.06,3837,4289,3774,238,-63.83,-76.12,111.8,4595,4472,2810,239
2.25,0.675,-2.025,2,16,0.19739556,-0.674740942,-65.76,-77.27,214.75,4302,4295,3075,242,-64.13,-76.31,124.06,4493,4466,3007,241
2.25,0.675,-2.025,2,17,0.19739556,-0.674740942,-66.24,-75.92,196.65,4078,3933,3785,231,-64.23,-76.4,133.16,4463,4261,2611,231
2.25,0.675,-2.025,2,18,0.19739556,-0.674740942,-66.14,-77.37,251.56,4050,4025,3062,231,-65.38,-76.53,97.3,4167,3892,3678,235
2.25,0.675,-2.025,2,19,0.19739556,-0.674740942,-66.92,-78.13,200.8,4229,4016,2814,237,-65.16,-78.7,124.31,4358,3978,2686,242
2.25,0.675,-2.025,2,20,0.19739556,-0.674740942,-66.49,-78.13,259.63,4217,4154,2691,238,-64.68,-76.96,130.63,4474,4180,3085,241
2.25,0.675,-2.025,2,21,0.19739556,-0.674740942,-66.45,-76.45,262,3718,4192,3810,234,-64.44,-76.86,139.34,4668,4459,2544,243
2.25,0.675,-2.025,2,22,0.19739556,-0.674740942,-66.53,-78.46,347.08,3824,4165,2766,233,-64.32,-73.15,128.33,4573,4620,4347,241
2.25,0.675,-2.025,2,23,0.19739556,-0.674740942,-66.28,-78.38,253.81,3928,4061,2874,234,-64.24,-75.73,106.12,4442,4245,3240,234
2.25,0.675,-2.025,2,24,0.19739556,-0.674740942,-66.28,-76.53,237.5,4122,3800,3667,232,-64.56,-74.51,179.54,4463,4309,3624,232
