RSS1_LoS1,RSS2_LoS1,RSS1_LoS2,RSS2_LoS2,RSS1_combined,RSS2_combined,d1,d2,room_dim_meter,theta1_true,theta2_true
1.78E-05,6.54E-05,3.69E-05,1.13E-05,0.0000384,0.0000549,2.816025564,5.208646629,7.999999968,1.464060654,-1.513167899
1.91E-05,7.17E-05,3.53E-05,1.08E-05,0.0000526,0.0000764,2.617250457,5.408326957,8.000000035,1.455919721,-1.515297822
2.05E-05,7.91E-05,3.38E-05,1.04E-05,0.0000155,0.0000839,2.41867732,5.608029922,7.99999996,1.446441332,-1.517276058
2.22E-05,8.82E-05,3.24E-05,1.00E-05,0.0000465,0.000079,2.220360334,5.807753403,7.999999968,1.435268613,-1.519118242
2.41E-05,9.98E-05,3.12E-05,9.67E-06,0.0000451,0.00010901,2.022374839,6.00749531,7.999999989,1.421906379,-1.520837931
2.64E-05,0.000114971,3.00E-05,9.34E-06,0.0000153,0.000109745,1.824828755,6.207253803,7.999999978,1.405647649,-1.52244694
2.90E-05,0.000136567,2.89E-05,9.03E-06,0.0000579,0.000138003,1.627882061,6.407027408,8.000000018,1.385448377,-1.523955614
3.22E-05,0.000170945,2.79E-05,8.74E-06,0.0000174,0.000172843,1.431782109,6.606814609,7.999999948,1.359702994,-1.525373047
3.67E-05,0.000237962,2.69E-05,8.47E-06,0.0000582,0.000235992,1.236931689,6.806614369,7.99999994,1.325817664,-1.526707269
4.50E-05,0.000406454,2.60E-05,8.22E-06,0.0000319,0.00040607,1.04403065,7.006425602,7.999999979,1.279339532,-1.527965394
6.96E-05,0.000945219,2.52E-05,7.98E-06,0.0000946,0.000951304,0.854400376,7.206247342,8.000000054,1.212025657,-1.529153748
0.000156886,0.003095656,2.44E-05,7.75E-06,0.000148109,0.003091203,0.670820394,7.406078527,7.999999943,1.107148718,-1.530277974
0.000482439,0.012808541,2.37E-05,7.54E-06,0.000463775,0.012807521,0.5,7.605918806,8.000000058,0.927295218,-1.531343126
0.001471754,0.01125406,2.30E-05,7.34E-06,0.001487294,0.011260981,0.360555128,7.805767145,8.000000047,0.588002604,-1.532353737
0.070270285,0.073263146,2.24E-05,7.15E-06,0.070253456,0.073269916,0.3,8.005623002,7.999999978,0,-1.53331389
0.018348925,0.001288678,2.17E-05,6.96E-06,0.018370497,0.001291476,0.360555128,8.205485996,8.000000026,-0.588002604,-1.534227271
0.013406617,0.000577888,2.12E-05,6.79E-06,0.013426533,0.000571897,0.5,8.405355408,7.999999972,-0.927295218,-1.535097214
0.003766499,0.000238285,2.06E-05,6.63E-06,0.003759815,0.000244893,0.670820394,8.605230908,7.99999994,-1.107148718,-1.535926745
0.001338557,0.000125753,2.01E-05,6.47E-06,0.001352897,0.000121742,0.854400376,8.805112098,7.999999945,-1.212025657,-1.536718615
0.000641788,8.22E-05,1.96E-05,6.32E-06,0.000625864,0.0000769,1.04403065,9.004998634,8.000000023,-1.279339532,-1.537475331
0.000384347,6.15E-05,1.91E-05,6.18E-06,0.000368834,0.0000617,1.236931689,9.204890096,8.00000009,-1.325817664,-1.538199182
0.000266221,4.96E-05,1.87E-05,6.04E-06,0.000265577,0.0000537,1.431782109,9.404785924,7.999999906,-1.359702994,-1.538892262
0.000202019,4.18E-05,1.82E-05,5.91E-06,0.000212851,0.0000475,1.627882061,9.604686244,7.999999886,-1.385448377,-1.539556493
0.00016238,3.63E-05,1.78E-05,5.78E-06,0.00017857,0.000042,1.824828755,9.804590804,8.000000047,-1.405647649,-1.540193639
0.000135755,3.21E-05,1.74E-05,5.66E-06,0.000153184,0.0000373,2.022374839,10.00449901,8.000000025,-1.421906379,-1.540805322
0.000116429,2.88E-05,1.71E-05,5.55E-06,0.000132921,0.0000332,2.220360334,10.20441095,8.000000136,-1.435268613,-1.541393039
0.000102091,2.61E-05,1.67E-05,5.44E-06,0.000116676,0.0000297,2.41867732,10.40432605,8.000000031,-1.446441332,-1.54195817
9.08E-05,2.39E-05,1.64E-05,5.33E-06,0.000103135,0.0000267,2.617250457,10.60424445,8.000000025,-1.455919721,-1.542501993
8.17E-05,2.20E-05,1.60E-05,5.23E-06,0.0000918,0.0000241,2.816025564,10.80416578,7.999999921,-1.464060654,-1.54302569
7.42E-05,2.04E-05,1.57E-05,5.13E-06,0.0000822,0.0000219,3.014962677,11.00409001,7.999999871,-1.471127674,-1.543530358
6.81E-05,1.90E-05,1.54E-05,5.03E-06,0.0000742,0.0000199,3.214031748,11.20401723,8.000000081,-1.477319546,-1.544017016
6.28E-05,1.78E-05,1.51E-05,4.94E-06,0.0000672,0.0000183,3.413209623,11.40394688,8.000000205,-1.482788953,-1.54448661
5.83E-05,1.67E-05,1.48E-05,4.85E-06,0.0000612,0.0000168,3.612478378,11.60387847,7.999999804,-1.487655095,-1.544940021
5.44E-05,1.58E-05,1.46E-05,4.77E-06,0.000056,0.0000155,3.81182372,11.80381316,8.000000207,-1.492012366,-1.545378074
1.30E-05,5.01E-05,5.65E-05,1.49E-05,0.0000691,0.0000509,3.832753587,4.229657209,8.00000002,1.439968931,-1.452306368
1.36E-05,5.36E-05,5.28E-05,1.42E-05,0.0000457,0.0000639,3.634556365,4.428317957,7.999999988,1.432790303,-1.457645345
1.43E-05,5.77E-05,4.96E-05,1.35E-05,0.0000522,0.0000448,3.436568054,4.627094123,8.000000001,1.424784069,-1.462525736
1.51E-05,6.25E-05,4.67E-05,1.29E-05,0.0000563,0.0000748,3.238826951,4.825971389,7.999999987,1.415799585,-1.467003986
1.59E-05,6.82E-05,4.42E-05,1.23E-05,0.0000305,0.0000609,3.041381258,5.024937795,7.999999977,1.405647649,-1.471127674
