step,metric,value
40,train/sup0_nll,-1.1696996688842773
40,train/sup1_nll,-1.290171504020691
40,train/recon_data_raw,66.30481719970703
40,train/recon_mix_norm,1.2827463150024414
40,train/recon_mix_raw,59.55883026123047
40,train/recon_phys,0.0
40,train/deg_rmse,5.79362678527832
40,train/kappa_mean,40.430294036865234
40,train/mix_weight,0.0
40,train/mix_weighted_norm,0.0
40,train/mix_var,46.43071746826172
40,train/decoder_recon_mae_4rss,6.5842485427856445
40,train/m3_enabled,1.0
40,train/m3_gate_mean,0.0
40,train/m3_gate_p10,0.0
40,train/m3_gate_p90,0.0
40,train/m3_keep_ratio,0.0
40,train/m3_resid_abs_mean_deg,0.0
40,train/m3_resid_abs_p90_deg,0.0
40,train/m3_delta_clip_rate,0.0
40,train/m3_kappa_corr_spearman,-0.6876832844574781
40,train/m3_residual_penalty,0.0
40,train/m3_gate_entropy,1.4828788152954075e-05
40,train/m3_gate_threshold,0.15
40,train/m3_gate_temp_tau,1.5
40,train/m3_delta_cap_deg_effective,2.0
40,train/m3_gain_applied,1.0
40,train/m3_resid_dir_agree_rate,1.0
40,train/m3_improve_rate_1deg,0.0
40,train/m3_worsen_rate_1deg,0.0
40,train/m3_err_delta_mean_deg,3.0174851417541504e-07
40,train/phi_quality_improve_corr,0.2870234604105572
40,train/grad_norm_m3,0.0
50,train/loss_total,-1.1339823007583618
50,train/sup0_nll,-0.5804539918899536
50,train/sup1_nll,-0.5535284280776978
50,train/recon_data_raw,90.3607406616211
50,train/recon_mix_norm,2.2288243770599365
50,train/recon_mix_raw,99.00061798095703
50,train/recon_phys,0.0
50,train/deg_rmse,8.018207550048828
50,train/kappa_mean,41.78871154785156
50,train/mix_weight,0.0
50,train/mix_weighted_norm,0.0
50,train/mix_var,44.418312072753906
50,train/decoder_recon_mae_4rss,8.039482116699219
50,train/m3_enabled,1.0
50,train/m3_gate_mean,0.0
50,train/m3_gate_p10,0.0
50,train/m3_gate_p90,0.0
50,train/m3_keep_ratio,0.0
50,train/m3_resid_abs_mean_deg,0.0
50,train/m3_resid_abs_p90_deg,0.0
50,train/m3_delta_clip_rate,0.0
50,train/m3_kappa_corr_spearman,-0.5164956011730205
50,train/m3_residual_penalty,0.0
50,train/m3_gate_entropy,1.4828788152954075e-05
50,train/m3_gate_threshold,0.15
50,train/m3_gate_temp_tau,1.5
50,train/m3_delta_cap_deg_effective,2.0
50,train/m3_gain_applied,1.0
50,train/m3_resid_dir_agree_rate,1.0
50,train/m3_improve_rate_1deg,0.0
50,train/m3_worsen_rate_1deg,0.0
50,train/m3_err_delta_mean_deg,1.1175870895385742e-08
50,train/phi_quality_improve_corr,0.4153225806451613
50,train/grad_norm_m3,0.0
60,train/loss_total,-2.105273723602295
60,train/sup0_nll,-1.0942729711532593
60,train/sup1_nll,-1.0110008716583252
60,train/recon_data_raw,197.00213623046875
60,train/recon_mix_norm,2.517869234085083
60,train/recon_mix_raw,152.20660400390625
60,train/recon_phys,0.0
60,train/deg_rmse,6.783328056335449
60,train/kappa_mean,39.43053436279297
60,train/mix_weight,0.0
60,train/mix_weighted_norm,0.0
60,train/mix_var,60.4505615234375
60,train/decoder_recon_mae_4rss,12.27074909210205
60,train/m3_enabled,1.0
60,train/m3_gate_mean,0.0
60,train/m3_gate_p10,0.0
60,train/m3_gate_p90,0.0
60,train/m3_keep_ratio,0.0
60,train/m3_resid_abs_mean_deg,0.0
60,train/m3_resid_abs_p90_deg,0.0
60,train/m3_delta_clip_rate,0.0
60,train/m3_kappa_corr_spearman,-0.5
60,train/m3_residual_penalty,0.0
60,train/m3_gate_entropy,1.4828788152954075e-05
60,train/m3_gate_threshold,0.15
60,train/m3_gate_temp_tau,1.5
60,train/m3_delta_cap_deg_effective,2.0
60,train/m3_gain_applied,1.0
60,train/m3_resid_dir_agree_rate,1.0
60,train/m3_improve_rate_1deg,0.0
60,train/m3_worsen_rate_1deg,0.0
60,train/m3_err_delta_mean_deg,-2.1606683731079102e-07
60,train/phi_quality_improve_corr,0.11986803519061584
60,train/grad_norm_m3,0.0
70,train/loss_total,-2.2399590015411377
70,train/sup0_nll,-1.0875282287597656
70,train/sup1_nll,-1.152430772781372
70,train/recon_data_raw,218.3070831298828
70,train/recon_mix_norm,3.647085428237915
70,train/recon_mix_raw,184.63934326171875
70,train/recon_phys,0.0
70,train/deg_rmse,5.892317295074463
70,train/kappa_mean,37.240516662597656
70,train/mix_weight,0.0
70,train/mix_weighted_norm,0.0
