sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
10,train,0,1,-14.461169733561256,-9.943305378318355,4.517864355242901,-24.404475111879613,1.0402767116551461,-14.461169733561256,-9.943305378318355,-15.590909179347822,-10.31517051446065,-15.686362358410125,-20.49635145623877,1.515297822,-1.554668693,1.802775652,6.200806418,8.000000033,1
11,train,0,1,-17.14442690992226,-9.773489707825135,7.370937202097124,-26.917916617747395,1.6972210122944078,-17.14442690992226,-9.773489707825135,-15.086383061657273,-9.729196158975883,-15.83359492661719,-20.634862575211066,1.508377517,-1.555172598,1.603121959,6.400781131,7.999999933,1
12,train,0,1,-12.247537402597635,-9.269308276273852,2.9782291263237823,-21.516845678871487,0.6857625989793823,-12.247537402597635,-9.269308276273852,-14.522252946121775,-9.052634144453256,-15.96879478824182,-20.7727454200674,1.499488862,-1.555645971,1.403566885,6.600757567,8.000000035,1
13,train,0,1,-13.615107430453628,-8.027497746117326,5.587609684336302,-21.642605176570953,1.2865946764621932,-13.615107430453628,-8.027497746117326,-13.872161432802645,-8.25170024688501,-16.108339156354678,-20.904439707588246,1.487655095,-1.556091504,1.204159459,6.800735062,7.999999809,1
14,train,0,1,-14.436974992327126,-7.366409268360745,7.070565723966381,-21.80338426068787,1.6280579235039645,-14.436974992327126,-7.366409268360745,-13.115801779972893,-7.292163869421574,-16.23423042943488,-21.0292299679058,1.471127674,-1.556511584,1.004987559,7.000714148,7.999999896,1
15,train,0,1,-10.824944904474535,-6.111389151616584,4.713555752857951,-16.93633405609112,1.085336321152704,-10.824944904474535,-6.111389151616584,-12.232988160115891,-6.063949674267915,-16.36388020107856,-21.15771230367396,1.446441332,-1.556908331,0.806225773,7.200694482,8.000000069,1
16,train,0,1,-11.7979854051436,-4.275524483014055,7.522460922129544,-16.073509888157655,1.7321106381925728,-11.7979854051436,-4.275524483014055,-11.174754620451194,-4.345843304481707,-16.49751981665837,-21.278437272517074,1.405647649,-1.557283636,0.608276252,7.400675764,8.000000118,1
17,train,0,1,-9.60027012055365,-0.6942330807715592,8.906037039782092,-10.29450320132521,2.0506908125455063,-9.60027012055365,-0.6942330807715592,-9.830710709630287,-0.6697458536692807,-16.615435063953953,-21.396619934290065,1.325817664,-1.557639191,0.412310563,7.60065768,7.999999814,1
18,train,0,1,-5.141806554099118,12.110962884658944,17.25276943875806,6.9691563305598265,3.972596972254756,-5.141806554099118,12.110962884658944,-4.879229200786741,12.112630925185597,-16.736641390712485,-21.511952989481962,1.107148718,-1.557976516,0.223606798,7.800640803,7.999999804,1
19,train,0,1,14.85712854048379,15.49545693094954,0.63832839046575,30.35258547143333,0.14698054363213192,14.85712854048379,15.49545693094954,14.860044913770484,15.495217870440147,-16.861327796308466,-21.617807780923744,0.0,-1.558296978,0.1,8.000625119,8.000000143,1
20,train,0,1,12.696463408617278,-2.648947520612091,-15.34541092922937,10.047515888005186,-3.5334114451511454,12.696463408617278,-2.648947520612091,12.700496665874883,-2.69922207653291,-16.968039425795112,-21.726307269461746,-1.107148718,-1.558601809,0.223606798,8.2006095,7.999999766,1
21,train,0,1,1.4770445201195526,-7.685992292882279,-9.163036813001831,-6.208947772762727,-2.1098671972173686,1.4770445201195526,-7.685992292882279,1.4162596400885454,-7.746519437120916,-17.07743928643524,-21.837587000082166,-1.325817664,-1.558892127,0.412310563,8.40059505,7.999999833,1
22,train,0,1,-2.707023494844685,-9.914040860479924,-7.207017365635238,-12.62106435532461,-1.6594770751060917,-2.707023494844685,-9.914040860479924,-2.770733563732782,-9.854878616034322,-17.189666327522726,-21.93820026016113,-1.405647649,-1.559168944,0.608276252,8.600581495,8.00000012,1
23,train,0,1,-4.936356963939152,-11.402614338028531,-6.46625737408938,-16.338971301967682,-1.4889107837041031,-4.936356963939152,-11.402614338028531,-4.918434632446087,-11.22628654130226,-17.28158393463501,-22.041199826559247,-1.446441332,-1.55943318,0.806225773,8.800568527,8.000000365,1
24,train,0,1,-6.482056250222286,-12.549252084179425,-6.06719583395714,-19.03130833440171,-1.3970234683545286,-6.482056250222286,-12.549252084179425,-6.364218625548697,-12.262135550188065,-17.375489102695706,-22.139587897574458,-1.471127674,-1.559685673,1.004987559,9.000555622,8.000000087,1
25,train,0,1,-7.6641507070583925,-13.487219860018559,-5.823069152960167,-21.151370567076953,-1.3408112227079545,-7.6641507070583925,-13.487219860018559,-7.445706946432376,-13.106911408763796,-17.49579997691106,-22.23298816011589,-1.487655095,-1.55992719,1.204159459,9.200543786,8.000000323,1
