sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
0,train,1,1,-16.736641390712485,-13.29754146925876,3.4390999214537246,-30.034182859971246,0.7918820212456341,-16.736641390712485,-13.29754146925876,,,,,1.54448661,-1.546991301,3.801315562,4.201190308,8.0,0
1,train,1,1,-14.122890349810886,-15.214335044061567,-1.091444694250681,-29.33722539387245,-0.25131442828090605,-14.122890349810886,-15.214335044061567,,,,,1.54302569,-1.548072966,3.601388621,4.401136217,8.0,0
2,train,1,1,-12.967086218813385,-12.724587429714436,0.24249878909894917,-25.69167364852782,0.05583740968483506,-12.967086218813385,-12.724587429714436,,,,,1.541393039,-1.54906062,3.40147027,4.601086828,8.0,0
3,train,1,1,-17.03334809738469,-12.557070168773237,4.476277928611452,-29.590418266157926,1.0307010830518994,-17.03334809738469,-12.557070168773237,,,,,1.539556493,-1.549966007,3.201562119,4.801041554,8.0,0
4,train,1,1,-13.400837999301498,-13.788237182249647,-0.38739918294814935,-27.189075181551146,-0.08920195836944819,-13.400837999301498,-13.788237182249647,,,,,1.537475331,-1.550798993,3.001666204,5.0009999,8.0,0
5,train,1,1,-14.672456210075023,-12.069083998234198,2.6033722118408242,-26.74154020830922,0.5994486046499619,-14.672456210075023,-12.069083998234198,,,,,1.535097214,-1.551567928,2.801785145,5.20096145,8.0,0
6,train,1,1,-18.569851997459047,-11.732774798310079,6.837077199148968,-30.302626795769125,1.5742952038409892,-18.569851997459047,-11.732774798310079,,,,,1.532353737,-1.552279925,2.601922366,5.400925847,8.0,0
7,train,1,1,-13.777859770337047,-12.34331445240986,1.4345453179271868,-26.12117422274691,0.33031626642835443,-13.777859770337047,-12.34331445240986,,,,,1.529153748,-1.552941082,2.40208243,5.600892786,8.0,0
8,train,1,1,-14.067139329795427,-11.045774539605922,3.021364790189505,-25.11291386940135,0.6956949526387441,-14.067139329795427,-11.045774539605922,,,,,1.525373047,-1.553556656,2.202271555,5.800862005,8.0,0
9,train,1,1,-21.123826996642634,-10.555173278498312,10.568653718144322,-31.679000275140947,2.4335224504415214,-21.123826996642634,-10.555173278498312,,,,,1.520837931,-1.554131203,2.002498439,6.000833275,8.0,0
10,train,1,1,-13.585258894959004,-10.762380391712998,2.822878503246006,-24.347639286672003,0.64999179609076,-13.585258894959004,-10.762380391712998,,,,,1.515297822,-1.554668693,1.802775638,6.200806399,8.0,0
