step,metric,value
170,train/loss_data,0.0
170,train/loss_mix,0.0
170,train/loss_phys,0.0
170,train/deg_rmse,17.646591186523438
170,train/kappa_mean,5.12374210357666
170,train/mix_weight,0.0
170,train/mix_weighted,0.0
180,train/loss_total,1.1020244359970093
180,train/loss_sup0,1.1020244359970093
180,train/loss_sup1,0.0
180,train/loss_data,0.0
180,train/loss_mix,0.0
180,train/loss_phys,0.0
180,train/deg_rmse,20.855165481567383
180,train/kappa_mean,5.448267936706543
180,train/mix_weight,0.0
180,train/mix_weighted,0.0
190,train/loss_total,1.1218637228012085
190,train/loss_sup0,1.1218637228012085
190,train/loss_sup1,0.0
190,train/loss_data,0.0
190,train/loss_mix,0.0
190,train/loss_phys,0.0
190,train/deg_rmse,18.688037872314453
190,train/kappa_mean,6.058856010437012
190,train/mix_weight,0.0
190,train/mix_weighted,0.0
200,train/loss_total,0.7588294148445129
200,train/loss_sup0,0.7588294148445129
200,train/loss_sup1,0.0
200,train/loss_data,0.0
200,train/loss_mix,0.0
200,train/loss_phys,0.0
200,train/deg_rmse,16.46983528137207
200,train/kappa_mean,6.773004055023193
200,train/mix_weight,0.0
200,train/mix_weighted,0.0
210,train/loss_total,0.9637332558631897
210,train/loss_sup0,0.9637332558631897
210,train/loss_sup1,0.0
210,train/loss_data,0.0
210,train/loss_mix,0.0
210,train/loss_phys,0.0
210,train/deg_rmse,19.30133819580078
210,train/kappa_mean,6.66676139831543
210,train/mix_weight,0.0
210,train/mix_weighted,0.0
220,train/loss_total,0.6598944664001465
220,train/loss_sup0,0.6598944664001465
220,train/loss_sup1,0.0
220,train/loss_data,0.0
220,train/loss_mix,0.0
220,train/loss_phys,0.0
220,train/deg_rmse,14.34634780883789
220,train/kappa_mean,7.510650634765625
220,train/mix_weight,0.0
220,train/mix_weighted,0.0
230,train/loss_total,0.7554070353507996
230,train/loss_sup0,0.7554070353507996
230,train/loss_sup1,0.0
230,train/loss_data,0.0
230,train/loss_mix,0.0
230,train/loss_phys,0.0
230,train/deg_rmse,15.82519817352295
230,train/kappa_mean,7.639088153839111
230,train/mix_weight,0.0
230,train/mix_weighted,0.0
240,train/loss_total,0.5113407969474792
240,train/loss_sup0,0.5113407969474792
240,train/loss_sup1,0.0
240,train/loss_data,0.0
240,train/loss_mix,0.0
240,train/loss_phys,0.0
240,train/deg_rmse,13.420354843139648
240,train/kappa_mean,7.53555965423584
240,train/mix_weight,0.0
240,train/mix_weighted,0.0
250,train/loss_total,0.24097584187984467
250,train/loss_sup0,0.24097584187984467
250,train/loss_sup1,0.0
250,train/loss_data,0.0
250,train/loss_mix,0.0
250,train/loss_phys,0.0
250,train/deg_rmse,11.68027114868164
250,train/kappa_mean,8.707154273986816
250,train/mix_weight,0.0
250,train/mix_weighted,0.0
