step,metric,value
130,train/mix_var,1.0
140,train/loss_total,1.389793038368225
140,train/sup0_nll,1.389793038368225
140,train/sup1_nll,0.0
140,train/recon_data_raw,0.0
140,train/recon_mix_norm,0.0
140,train/recon_mix_raw,0.0
140,train/recon_phys,0.0
140,train/deg_rmse,29.870601654052734
140,train/kappa_mean,4.203872203826904
140,train/mix_weight,0.0
140,train/mix_weighted_norm,0.0
140,train/mix_var,1.0
150,train/loss_total,1.7905255556106567
150,train/sup0_nll,1.7905255556106567
150,train/sup1_nll,0.0
150,train/recon_data_raw,0.0
150,train/recon_mix_norm,0.0
150,train/recon_mix_raw,0.0
150,train/recon_phys,0.0
150,train/deg_rmse,39.115821838378906
150,train/kappa_mean,4.386679649353027
150,train/mix_weight,0.0
150,train/mix_weighted_norm,0.0
150,train/mix_var,1.0
160,train/loss_total,1.3026103973388672
160,train/sup0_nll,1.3026103973388672
160,train/sup1_nll,0.0
160,train/recon_data_raw,0.0
160,train/recon_mix_norm,0.0
160,train/recon_mix_raw,0.0
160,train/recon_phys,0.0
160,train/deg_rmse,24.76776695251465
160,train/kappa_mean,4.736910820007324
160,train/mix_weight,0.0
160,train/mix_weighted_norm,0.0
160,train/mix_var,1.0
170,train/loss_total,1.0383923053741455
170,train/sup0_nll,1.0383923053741455
170,train/sup1_nll,0.0
170,train/recon_data_raw,0.0
170,train/recon_mix_norm,0.0
170,train/recon_mix_raw,0.0
170,train/recon_phys,0.0
170,train/deg_rmse,17.646591186523438
170,train/kappa_mean,5.12374210357666
170,train/mix_weight,0.0
170,train/mix_weighted_norm,0.0
170,train/mix_var,1.0
180,train/loss_total,1.1020244359970093
180,train/sup0_nll,1.1020244359970093
180,train/sup1_nll,0.0
180,train/recon_data_raw,0.0
180,train/recon_mix_norm,0.0
180,train/recon_mix_raw,0.0
180,train/recon_phys,0.0
180,train/deg_rmse,20.855165481567383
180,train/kappa_mean,5.448267936706543
180,train/mix_weight,0.0
180,train/mix_weighted_norm,0.0
180,train/mix_var,1.0
190,train/loss_total,1.1218637228012085
190,train/sup0_nll,1.1218637228012085
190,train/sup1_nll,0.0
190,train/recon_data_raw,0.0
190,train/recon_mix_norm,0.0
190,train/recon_mix_raw,0.0
190,train/recon_phys,0.0
190,train/deg_rmse,18.688037872314453
190,train/kappa_mean,6.058856010437012
190,train/mix_weight,0.0
190,train/mix_weighted_norm,0.0
190,train/mix_var,1.0
200,train/loss_total,0.7588294148445129
200,train/sup0_nll,0.7588294148445129
200,train/sup1_nll,0.0
200,train/recon_data_raw,0.0
200,train/recon_mix_norm,0.0
200,train/recon_mix_raw,0.0
200,train/recon_phys,0.0
200,train/deg_rmse,16.46983528137207
200,train/kappa_mean,6.773004055023193
200,train/mix_weight,0.0
200,train/mix_weighted_norm,0.0
200,train/mix_var,1.0
210,train/loss_total,0.9637332558631897
210,train/sup0_nll,0.9637332558631897
210,train/sup1_nll,0.0
210,train/recon_data_raw,0.0
210,train/recon_mix_norm,0.0
210,train/recon_mix_raw,0.0
210,train/recon_phys,0.0
210,train/deg_rmse,19.30133819580078
210,train/kappa_mean,6.66676139831543
210,train/mix_weight,0.0
210,train/mix_weighted_norm,0.0
210,train/mix_var,1.0
220,train/loss_total,0.6598944664001465
220,train/sup0_nll,0.6598944664001465
220,train/sup1_nll,0.0
220,train/recon_data_raw,0.0
220,train/recon_mix_norm,0.0
220,train/recon_mix_raw,0.0
220,train/recon_phys,0.0
220,train/deg_rmse,14.34634780883789
220,train/kappa_mean,7.510650634765625
220,train/mix_weight,0.0
220,train/mix_weighted_norm,0.0
220,train/mix_var,1.0
230,train/loss_total,0.7554070353507996
230,train/sup0_nll,0.7554070353507996
230,train/sup1_nll,0.0
230,train/recon_data_raw,0.0
230,train/recon_mix_norm,0.0
230,train/recon_mix_raw,0.0
230,train/recon_phys,0.0
230,train/deg_rmse,15.82519817352295
230,train/kappa_mean,7.639088153839111
230,train/mix_weight,0.0
230,train/mix_weighted_norm,0.0
230,train/mix_var,1.0
240,train/loss_total,0.5113407969474792
240,train/sup0_nll,0.5113407969474792
240,train/sup1_nll,0.0
240,train/recon_data_raw,0.0
240,train/recon_mix_norm,0.0
240,train/recon_mix_raw,0.0
240,train/recon_phys,0.0
240,train/deg_rmse,13.420354843139648
240,train/kappa_mean,7.53555965423584
240,train/mix_weight,0.0
240,train/mix_weighted_norm,0.0
240,train/mix_var,1.0
250,train/loss_total,0.24097584187984467
250,train/sup0_nll,0.24097584187984467
250,train/sup1_nll,0.0
250,train/recon_data_raw,0.0
250,train/recon_mix_norm,0.0
250,train/recon_mix_raw,0.0
250,train/recon_phys,0.0
250,train/deg_rmse,11.68027114868164
250,train/kappa_mean,8.707154273986816
250,train/mix_weight,0.0
250,train/mix_weighted_norm,0.0
250,train/mix_var,1.0
260,train/loss_total,0.673987627029419
260,train/sup0_nll,0.30211445689201355
260,train/sup1_nll,0.371873140335083
260,train/recon_data_raw,1206.517333984375
260,train/recon_mix_norm,16.341022491455078
260,train/recon_mix_raw,951.3853759765625
260,train/recon_phys,0.0
260,train/deg_rmse,11.970151901245117
260,train/kappa_mean,8.29249382019043
260,train/mix_weight,0.0
260,train/mix_weighted_norm,0.0
260,train/mix_var,58.220672607421875
270,train/loss_total,0.7093234062194824
270,train/sup0_nll,0.284752756357193
270,train/sup1_nll,0.42457062005996704
270,train/recon_data_raw,1131.9622802734375
270,train/recon_mix_norm,17.07548713684082
270,train/recon_mix_raw,851.9061889648438
270,train/recon_phys,0.0
270,train/deg_rmse,13.299357414245605
270,train/kappa_mean,9.166970252990723
270,train/mix_weight,0.0
270,train/mix_weighted_norm,0.0
270,train/mix_var,49.890594482421875
280,train/loss_total,0.33983486890792847
280,train/sup0_nll,0.20560574531555176
280,train/sup1_nll,0.1342291235923767
280,train/recon_data_raw,1140.308837890625
280,train/recon_mix_norm,16.604930877685547
280,train/recon_mix_raw,925.372802734375
280,train/recon_phys,0.0
280,train/deg_rmse,11.543662071228027
280,train/kappa_mean,10.193582534790039
280,train/mix_weight,0.0
280,train/mix_weighted_norm,0.0
280,train/mix_var,55.728797912597656
290,train/loss_total,1.412296175956726
290,train/sup0_nll,0.5871773362159729
290,train/sup1_nll,0.8251188397407532
290,train/recon_data_raw,1250.220947265625
290,train/recon_mix_norm,14.921462059020996
290,train/recon_mix_raw,1033.442626953125
290,train/recon_phys,0.0
290,train/deg_rmse,17.399497985839844
290,train/kappa_mean,9.989654541015625
290,train/mix_weight,0.0
290,train/mix_weighted_norm,0.0
290,train/mix_var,69.25880432128906
300,train/loss_total,0.0057415589690208435
300,train/sup0_nll,-0.004708550870418549
300,train/sup1_nll,0.010450109839439392
300,train/recon_data_raw,1207.421875
300,train/recon_mix_norm,19.696603775024414
300,train/recon_mix_raw,959.5164794921875
300,train/recon_phys,0.0
300,train/deg_rmse,10.265023231506348
300,train/kappa_mean,11.231698036193848
300,train/mix_weight,0.0
300,train/mix_weighted_norm,0.0
300,train/mix_var,48.714820861816406
310,train/loss_total,0.04252411425113678
310,train/sup0_nll,-0.06602415442466736
310,train/sup1_nll,0.10854826867580414
310,train/recon_data_raw,1196.9041748046875
310,train/recon_mix_norm,19.38376235961914
310,train/recon_mix_raw,921.155517578125
310,train/recon_phys,0.0
310,train/deg_rmse,11.827653884887695
310,train/kappa_mean,11.770001411437988
310,train/mix_weight,0.0
310,train/mix_weighted_norm,0.0
310,train/mix_var,47.52201843261719
320,train/loss_total,0.14793643355369568
320,train/sup0_nll,0.29912900924682617
320,train/sup1_nll,-0.1511925756931305
320,train/recon_data_raw,1213.084716796875
320,train/recon_mix_norm,17.152061462402344
320,train/recon_mix_raw,920.9583740234375
320,train/recon_phys,0.0
320,train/deg_rmse,8.588595390319824
320,train/kappa_mean,12.003158569335938
320,train/mix_weight,0.0
320,train/mix_weighted_norm,0.0
320,train/mix_var,53.69374465942383
330,train/loss_total,0.22495673596858978
330,train/sup0_nll,0.2216196060180664
330,train/sup1_nll,0.0033371299505233765
330,train/recon_data_raw,1231.2689208984375
330,train/recon_mix_norm,17.51519012451172
330,train/recon_mix_raw,955.6996459960938
330,train/recon_phys,0.0
330,train/deg_rmse,10.915628433227539
330,train/kappa_mean,12.908256530761719
330,train/mix_weight,0.0
330,train/mix_weighted_norm,0.0
330,train/mix_var,54.564048767089844
340,train/loss_total,0.31587308645248413
340,train/sup0_nll,0.2515592575073242
340,train/sup1_nll,0.0643138438463211
340,train/recon_data_raw,1240.4796142578125
340,train/recon_mix_norm,18.848705291748047
340,train/recon_mix_raw,992.3131713867188
340,train/recon_phys,0.0
340,train/deg_rmse,11.474662780761719
340,train/kappa_mean,13.242074966430664
340,train/mix_weight,0.0
340,train/mix_weighted_norm,0.0
340,train/mix_var,52.64622497558594
350,train/loss_total,0.1235491931438446
350,train/sup0_nll,0.00914543867111206
350,train/sup1_nll,0.11440375447273254
350,train/recon_data_raw,1226.8260498046875
350,train/recon_mix_norm,14.917143821716309
350,train/recon_mix_raw,908.8433227539062
350,train/recon_phys,0.0
350,train/deg_rmse,11.635178565979004
350,train/kappa_mean,13.32595157623291
350,train/mix_weight,0.0
350,train/mix_weighted_norm,0.0
350,train/mix_var,60.92609405517578
360,train/loss_total,0.09098638594150543
360,train/sup0_nll,-0.06724661588668823
360,train/sup1_nll,0.15823300182819366
360,train/recon_data_raw,1254.3182373046875
360,train/recon_mix_norm,15.542380332946777
360,train/recon_mix_raw,983.4218139648438
360,train/recon_phys,0.0
360,train/deg_rmse,12.675328254699707
360,train/kappa_mean,13.425045013427734
360,train/mix_weight,0.0
360,train/mix_weighted_norm,0.0
360,train/mix_var,63.273563385009766
370,train/loss_total,-0.5414498448371887
370,train/sup0_nll,-0.24430058896541595
370,train/sup1_nll,-0.2971492409706116
370,train/recon_data_raw,1204.3690185546875
370,train/recon_mix_norm,19.64582061767578
370,train/recon_mix_raw,947.1527709960938
370,train/recon_phys,0.0
370,train/deg_rmse,8.341529846191406
370,train/kappa_mean,13.902591705322266
370,train/mix_weight,0.0
370,train/mix_weighted_norm,0.0
370,train/mix_var,48.2114143371582
380,train/loss_total,-0.3642422556877136
380,train/sup0_nll,-0.06480057537555695
380,train/sup1_nll,-0.2994416654109955
380,train/recon_data_raw,1285.2056884765625
380,train/recon_mix_norm,13.442163467407227
380,train/recon_mix_raw,991.69921875
380,train/recon_phys,0.0
380,train/deg_rmse,8.295743942260742
380,train/kappa_mean,13.525050163269043
380,train/mix_weight,0.0
380,train/mix_weighted_norm,0.0
380,train/mix_var,73.7752685546875
390,train/loss_total,-0.528496503829956
390,train/sup0_nll,-0.29219454526901245
390,train/sup1_nll,-0.23630192875862122
390,train/recon_data_raw,1185.748291015625
390,train/recon_mix_norm,13.921648025512695
390,train/recon_mix_raw,831.2302856445312
390,train/recon_phys,0.0
390,train/deg_rmse,9.270482063293457
390,train/kappa_mean,14.537829399108887
390,train/mix_weight,0.0
390,train/mix_weighted_norm,0.0
390,train/mix_var,59.70774841308594
400,train/loss_total,-0.4460543692111969
400,train/sup0_nll,-0.23598477244377136
400,train/sup1_nll,-0.21006959676742554
400,train/recon_data_raw,1211.0291748046875
400,train/recon_mix_norm,20.481464385986328
400,train/recon_mix_raw,875.8727416992188
400,train/recon_phys,0.0
400,train/deg_rmse,9.332130432128906
400,train/kappa_mean,15.25028133392334
400,train/mix_weight,0.0
400,train/mix_weighted_norm,0.0
400,train/mix_var,42.76416778564453
410,train/loss_total,0.17209669947624207
410,train/sup0_nll,0.15884986519813538
410,train/sup1_nll,0.01324683427810669
410,train/recon_data_raw,1396.737548828125
410,train/recon_mix_norm,16.509967803955078
410,train/recon_mix_raw,1099.038818359375
410,train/recon_phys,0.0
410,train/deg_rmse,11.79493522644043
410,train/kappa_mean,14.784801483154297
410,train/mix_weight,0.0
410,train/mix_weighted_norm,0.0
410,train/mix_var,66.56819915771484
420,train/loss_total,0.4327964186668396
420,train/sup0_nll,0.31362250447273254
420,train/sup1_nll,0.11917392909526825
420,train/recon_data_raw,1382.913330078125
420,train/recon_mix_norm,16.696218490600586
420,train/recon_mix_raw,1149.3775634765625
420,train/recon_phys,0.0
420,train/deg_rmse,11.074563980102539
420,train/kappa_mean,15.300019264221191
420,train/mix_weight,0.0
420,train/mix_weighted_norm,0.0
420,train/mix_var,68.84059143066406
430,train/loss_total,0.05609050393104553
430,train/sup0_nll,-0.018949776887893677
430,train/sup1_nll,0.07504028081893921
430,train/recon_data_raw,1250.38037109375
430,train/recon_mix_norm,16.821062088012695
430,train/recon_mix_raw,979.5084228515625
430,train/recon_phys,0.0
430,train/deg_rmse,10.83165454864502
430,train/kappa_mean,16.009937286376953
430,train/mix_weight,0.0
430,train/mix_weighted_norm,0.0
430,train/mix_var,58.2310676574707
440,train/loss_total,-0.2608983814716339
440,train/sup0_nll,0.01782193034887314
440,train/sup1_nll,-0.27872031927108765
440,train/recon_data_raw,1249.259521484375
440,train/recon_mix_norm,16.43561553955078
440,train/recon_mix_raw,992.080322265625
440,train/recon_phys,0.0
440,train/deg_rmse,8.919706344604492
440,train/kappa_mean,15.8128080368042
440,train/mix_weight,0.0
440,train/mix_weighted_norm,0.0
440,train/mix_var,60.36161804199219
450,train/loss_total,0.26788073778152466
450,train/sup0_nll,0.11498638987541199
450,train/sup1_nll,0.15289434790611267
450,train/recon_data_raw,1245.4903564453125
450,train/recon_mix_norm,17.93105697631836
450,train/recon_mix_raw,987.7907104492188
450,train/recon_phys,0.0
450,train/deg_rmse,11.176636695861816
450,train/kappa_mean,16.14305877685547
450,train/mix_weight,0.0
450,train/mix_weighted_norm,0.0
450,train/mix_var,55.088260650634766
460,train/loss_total,-0.51047283411026
460,train/sup0_nll,-0.21350564062595367
460,train/sup1_nll,-0.29696720838546753
460,train/recon_data_raw,1339.597900390625
460,train/recon_mix_norm,21.531801223754883
460,train/recon_mix_raw,1085.8583984375
460,train/recon_phys,0.0
460,train/deg_rmse,8.474237442016602
460,train/kappa_mean,15.760295867919922
460,train/mix_weight,0.0
460,train/mix_weighted_norm,0.0
460,train/mix_var,50.43044662475586
470,train/loss_total,0.2306966781616211
470,train/sup0_nll,0.06927767395973206
470,train/sup1_nll,0.16141900420188904
470,train/recon_data_raw,1251.4599609375
470,train/recon_mix_norm,19.95929527282715
