sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
0,train,1,1,-46.736641390712485,-43.29754146925876,3.4390999214537246,-90.03418285997125,0.7918820212456331,-76.73664139071249,-73.29754146925876,,,,,1.54448661,-1.546991301,3.801315562,4.201190308,8.0,0
1,train,1,1,-44.12289034981089,-45.21433504406157,-1.0914446942506828,-89.33722539387246,-0.2513144282809066,-74.12289034981089,-75.21433504406157,,,,,1.54302569,-1.548072966,3.601388621,4.401136217,8.0,0
2,train,1,1,-42.96708621881338,-42.72458742971444,0.24249878909893852,-85.69167364852782,0.05583740968483338,-72.96708621881338,-72.72458742971443,,,,,1.541393039,-1.54906062,3.40147027,4.601086828,8.0,0
3,train,1,1,-47.03334809738469,-42.55707016877324,4.476277928611452,-89.59041826615793,1.0307010830519,-77.03334809738469,-72.55707016877324,,,,,1.539556493,-1.549966007,3.201562119,4.801041554,8.0,0
4,train,1,1,-43.400837999301494,-43.788237182249645,-0.3873991829481511,-87.18907518155115,-0.08920195836944819,-73.4008379993015,-73.78823718224965,,,,,1.537475331,-1.550798993,3.001666204,5.0009999,8.0,0
5,train,1,1,-44.672456210075026,-42.0690839982342,2.603372211840828,-86.74154020830923,0.5994486046499617,-74.67245621007503,-72.06908399823419,,,,,1.535097214,-1.551567928,2.801785145,5.20096145,8.0,0
6,train,1,1,-48.569851997459054,-41.732774798310075,6.837077199148979,-90.30262679576913,1.5742952038409914,-78.56985199745905,-71.73277479831007,,,,,1.532353737,-1.552279925,2.601922366,5.400925847,8.0,0
7,train,1,1,-43.777859770337045,-42.34331445240986,1.4345453179271885,-86.1211742227469,0.33031626642835604,-73.77785977033705,-72.34331445240986,,,,,1.529153748,-1.552941082,2.40208243,5.600892786,8.0,0
8,train,1,1,-44.067139329795424,-41.045774539605915,3.0213647901895087,-85.11291386940134,0.6956949526387441,-74.06713932979542,-71.04577453960592,,,,,1.525373047,-1.553556656,2.202271555,5.800862005,8.0,0
9,train,1,1,-51.123826996642634,-40.555173278498316,10.568653718144319,-91.67900027514095,2.43352245044152,-81.12382699664263,-70.55517327849832,,,,,1.520837931,-1.554131203,2.002498439,6.000833275,8.0,0
10,train,1,1,-43.585258894959004,-40.762380391713,2.8228785032460024,-84.347639286672,0.6499917960907587,-73.585258894959,-70.76238039171301,,,,,1.515297822,-1.554668693,1.802775638,6.200806399,8.0,0
11,train,1,1,-43.00162274132754,-39.53938175664041,3.462240984687128,-82.54100449796795,0.7972104479693611,-73.00162274132754,-69.53938175664041,,,,,1.508377517,-1.555172598,1.603121954,6.400781202,8.0,0
12,train,1,1,-49.136401693252516,-38.93258506673853,10.203816626513984,-88.06898675999105,2.3495156055855886,-79.13640169325251,-68.93258506673854,,,,,1.499488862,-1.555645971,1.403566885,6.600757532,8.0,0
13,train,1,1,-42.50263684430939,-38.46642528517026,4.036211559139133,-80.96906212947965,0.9293720568244019,-72.5026368443094,-68.46642528517026,,,,,1.487655095,-1.556091504,1.204159458,6.800735254,8.0,0
14,train,1,1,-42.26945306635737,-37.165314192129536,5.104138874227836,-79.43476725848691,1.1752714084368423,-72.26945306635737,-67.16531419212953,,,,,1.471127674,-1.556511584,1.004987562,7.000714249,8.0,0
15,train,1,1,-43.67542707815276,-36.047050660204256,7.628376417948502,-79.72247773835701,1.756498582371554,-73.67542707815275,-66.04705066020426,,,,,1.446441332,-1.556908331,0.806225775,7.200694411,8.0,0
16,train,1,1,-40.52566278112949,-34.386743683149646,6.138919097979844,-74.91240646427914,1.4135383602104847,-70.52566278112948,-64.38674368314965,,,,,1.405647649,-1.557283636,0.608276253,7.400675645,8.0,0
17,train,1,1,-39.997698848997075,-30.653864254792225,9.34383459420485,-70.6515631037893,2.151497424801815,-69.99769884899708,-60.653864254792225,,,,,1.325817664,-1.557639191,0.412310563,7.600657866,8.0,0
18,train,1,1,-34.68195484180602,-17.885740909714357,16.79621393209166,-52.567695751520375,3.8674711818773164,-64.68195484180602,-47.88574090971436,,,,,1.107148718,-1.557976516,0.223606798,7.800640999,8.0,0
19,train,1,1,-15.137330960545444,-14.505262863593165,0.6320680969522794,-29.642593824138608,0.14553905777994353,-45.13733096054544,-44.50526286359317,,,,,0.0,-1.558296978,0.1,8.000624976,8.0,0
20,train,1,1,-17.2959563619333,-32.73994498403958,-15.443988622106282,-50.03590134597288,-3.5561097977631575,-47.2959563619333,-62.73994498403958,,,,,-1.107148718,-1.558601809,0.223606798,8.200609733,8.0,0
21,train,1,1,-28.643776515490526,-37.843835834939924,-9.200059319449398,-66.48761235043045,-2.1183919443625125,-58.64377651549053,-67.84383583493992,,,,,-1.325817664,-1.558892127,0.412310563,8.400595217,8.0,0
22,train,1,1,-32.849774311116775,-39.87323030006858,-7.0234559889518025,-72.72300461118536,-1.6172105061460176,-62.849774311116775,-69.87323030006857,,,,,-1.405647649,-1.559168944,0.608276253,8.600581376,8.0,0
23,train,1,1,-34.91345060674139,-41.140736601985694,-6.227285995244301,-76.05418720872709,-1.4338855902460108,-64.91345060674139,-71.1407366019857,,,,,-1.446441332,-1.55943318,0.806225775,8.800568163,8.0,0
24,train,1,1,-36.27948236246917,-42.0690839982342,-5.789601635765031,-78.34856636070336,-1.333105042088651,-66.27948236246917,-72.06908399823419,,,,,-1.471127674,-1.559685673,1.004987562,9.000555538,8.0,0
25,train,1,1,-37.29612343538949,-42.82329496997738,-5.527171534587893,-80.11941840536687,-1.2726782781963102,-67.29612343538949,-72.82329496997738,,,,,-1.487655095,-1.55992719,1.204159458,9.200543462,8.0,0
26,train,1,1,-38.07287620186047,-43.46787486224656,-5.3949986603860935,-81.54075106410703,-1.2422443492127868,-68.07287620186047,-73.46787486224656,,,,,-1.499488862,-1.56015843,1.403566885,9.4005319,8.0,0
27,train,1,1,-38.71122753458899,-44.023048140744876,-5.311820606155884,-82.73427567533386,-1.2230918944393134,-68.711227534589,-74.02304814074488,,,,,-1.508377517,-1.560380037,1.603121954,9.600520819,8.0,0
28,train,1,1,-39.296037573420605,-44.49771646944906,-5.201678896028454,-83.79375404286966,-1.1977308284536843,-69.2960375734206,-74.49771646944906,,,,,-1.515297822,-1.560592599,1.802775638,9.800510191,8.0,0
29,train,1,1,-39.805804327217025,-44.907974776688974,-5.102170449471949,-84.713779103906,-1.1748181618868827,-69.80580432721703,-74.90797477668897,,,,,-1.520837931,-1.56079666,2.002498439,10.00049999,8.0,0
30,train,1,1,-40.21819483062586,-45.2432881167557,-5.025093286129838,-85.46148294738157,-1.1570704891547028,-70.21819483062586,-75.2432881167557,,,,,-1.525373047,-1.560992719,2.202271555,10.20049018,8.0,0
31,train,1,1,-40.57991946977687,-45.60667306169737,-5.026753591920503,-86.18659253147425,-1.1574527886910424,-70.57991946977687,-75.60667306169736,,,,,-1.529153748,-1.561181238,2.40208243,10.40048076,8.0,0
32,train,1,1,-40.94204119632131,-46.00326278518962,-5.061221588868307,-86.94530398151093,-1.1653893382867793,-70.94204119632131,-76.00326278518962,,,,,-1.532353737,-1.561362644,2.601922366,10.60047169,8.0,0
33,train,1,1,-41.301817920206716,-46.21602099051862,-4.914203070311906,-87.51783891072535,-1.131537073364576,-71.30181792020672,-76.21602099051862,,,,,-1.535097214,-1.561537332,2.801785145,10.80046295,8.0,0
34,train,1,1,-41.61780778092374,-46.47817481888637,-4.860367037962632,-88.09598259981011,-1.1191408688092386,-71.61780778092374,-76.47817481888637,,,,,-1.537475331,-1.561705668,3.001666204,11.00045454,8.0,0
35,train,1,1,-41.87755303199631,-46.71620396561262,-4.838650933616314,-88.59375699760892,-1.114140550994664,-71.87755303199631,-76.71620396561262,,,,,-1.539556493,-1.561867993,3.201562119,11.20044642,8.0,0
36,train,1,1,-42.09714835966758,-46.94648630553377,-4.849337945866189,-89.04363466520135,-1.1166013265041845,-72.09714835966759,-76.94648630553377,,,,,-1.541393039,-1.562024622,3.40147027,11.40043859,8.0,0
37,train,1,1,-42.3284413391782,-47.21246399047171,-4.884022651293513,-89.54090532964992,-1.1245877750713695,-72.3284413391782,-77.21246399047172,,,,,-1.54302569,-1.562175851,3.601388621,11.60043103,8.0,0
38,train,1,1,-42.564902352715706,-47.495799976911066,-4.93089762419536,-90.06070232962676,-1.135381136455199,-72.5649023527157,-77.49579997691106,,,,,-1.54448661,-1.562321953,3.801315562,11.80042372,8.0,0
39,train,1,1,-46.21602099051862,-43.24221658325915,2.973804407259472,-89.45823757377778,0.6847437697635645,-76.21602099051862,-73.24221658325915,,,,,1.492012366,-1.499488862,3.811823711,4.210700654,8.0,0
40,train,1,1,-44.14539270491499,-44.089353929735005,0.05603877517998512,-88.23474663465,0.012903404835907782,-74.145392704915,-74.08935392973501,,,,,1.487655095,-1.502719869,3.612478374,4.410215414,8.0,0
41,train,1,1,-42.915790998652874,-41.979107421182675,0.9366835774701983,-84.89489841983556,0.2156793642335208,-72.91579099865288,-71.97910742118268,,,,,1.482788953,-1.505671163,3.413209633,4.609772229,8.0,0
42,train,1,1,-48.92790030352131,-42.69217724333611,6.235723060185201,-91.62007754685743,1.4358282962421656,-78.92790030352131,-72.69217724333612,,,,,1.477319546,-1.508377517,3.214031736,4.809365863,8.0,0
43,train,1,1,-44.05607449624573,-42.62012673666569,1.4359477595800385,-86.67620123291141,0.3306391905527194,-74.05607449624573,-72.6201267366657,,,,,1.471127674,-1.510868172,3.014962686,5.008991915,8.0,0
44,train,1,1,-45.78396073130169,-41.169066414243105,4.614894317058585,-86.9530271455448,1.0626186860202043,-75.78396073130169,-71.1690664142431,,,,,1.464060654,-1.513167899,2.816025568,5.208646657,8.0,0
45,train,1,1,-45.67030709125595,-41.87755303199631,3.792754059259643,-87.54786012325226,0.8733138958243898,-75.67030709125595,-71.87755303199631,,,,,1.455919721,-1.515297822,2.617250466,5.408326913,8.0,0
46,train,1,1,-43.400837999301494,-41.00726812682396,2.393569872477535,-84.40810612612546,0.5511398307406435,-73.4008379993015,-71.00726812682396,,,,,1.446441332,-1.517276058,2.418677324,5.608029957,8.0,0
47,train,1,1,-46.30784142589857,-40.24568191490737,6.062159510991201,-86.55352334080595,1.3958638121360414,-76.30784142589857,-70.24568191490738,,,,,1.435268613,-1.519118242,2.220360331,5.807753438,8.0,0
48,train,1,1,-44.69800301796917,-40.404816230270015,4.293186787699156,-85.10281924823919,0.9885427898795082,-74.69800301796917,-70.40481623027001,,,,,1.421906379,-1.520837931,2.022374842,6.007495318,8.0,0
49,train,1,1,-43.187587626244124,-39.10992651597927,4.077661110264856,-82.29751414222339,0.9389161686777404,-73.18758762624412,-69.10992651597927,,,,,1.405647649,-1.52244694,1.824828759,6.207253821,8.0,0
50,train,1,1,-53.3161408331,-38.78752119499801,14.528619638101993,-92.103662028098,3.3453383000474193,-83.31614083310001,-68.787521194998,,,,,1.385448377,-1.523955614,1.62788206,6.407027392,8.0,0
51,train,1,1,-42.44887733604929,-37.617656597165265,4.831220738884028,-80.06653393321456,1.112429685431804,-72.44887733604929,-67.61765659716526,,,,,1.359702994,-1.525373047,1.431782106,6.606814664,8.0,0
52,train,1,1,-47.21246399047171,-36.258769749229494,10.953694241242218,-83.4712337397012,2.5221813073099058,-77.21246399047172,-66.25876974922949,,,,,1.325817664,-1.526707269,1.236931688,6.80661443,8.0,0
53,train,1,1,-41.979107421182675,-33.87323141198043,8.105876009202248,-75.8523388331631,1.8664469264447159,-71.97910742118268,-63.87323141198043,,,,,1.279339532,-1.527965394,1.044030651,7.006425622,8.0,0
54,train,1,1,-43.0715308072277,-30.277818828727426,12.793711978500276,-73.34934963595512,2.9458610485754098,-73.0715308072277,-60.277818828727426,,,,,1.212025657,-1.529153748,0.854400375,7.20624729,8.0,0
55,train,1,1,-37.842250066192975,-25.089557373063954,12.75269269312902,-62.93180743925693,2.936416009073297,-67.84225006619297,-55.089557373063954,,,,,1.107148718,-1.530277974,0.670820393,7.406078585,8.0,0
56,train,1,1,-33.02329610168354,-18.925698174594853,14.097597927088689,-51.9489942762784,3.2460918833938175,-63.02329610168354,-48.92569817459486,,,,,0.927295218,-1.531343126,0.5,7.605918748,8.0,0
57,train,1,1,-28.352962808545104,-19.489019125390143,8.863943683154961,-47.841981933935244,2.0409984589971346,-58.3529628085451,-49.48901912539014,,,,,0.588002604,-1.532353737,0.360555128,7.805767099,8.0,0
58,train,1,1,-11.531587555854692,-11.351593065625678,0.1799944902290136,-22.88318062148037,0.04144526300223902,-41.53158755585469,-41.35159306562568,,,,,0.0,-1.53331389,0.3,8.005623024,8.0,0
59,train,1,1,-17.367960504050178,-28.914951863735535,-11.546991359685357,-46.28291236778571,-2.658793017374255,-47.367960504050174,-58.91495186373554,,,,,-0.588002604,-1.534227271,0.360555128,8.20548597,8.0,0
60,train,1,1,-18.7315799688048,-32.349546540754055,-13.617966571949253,-51.08112650955886,-3.1356526825461577,-48.7315799688048,-62.349546540754055,,,,,-0.927295218,-1.535097214,0.5,8.405355436,8.0,0
61,train,1,1,-24.226602298381863,-36.33911531603506,-12.1125130176532,-60.565717614416926,-2.7890091913144586,-54.22660229838186,-66.33911531603506,,,,,-1.107148718,-1.535926745,0.670820393,8.605230967,8.0,0
62,train,1,1,-28.779749254376735,-38.95751953009556,-10.177770275718824,-67.73726878447229,-2.343518211678806,-58.77974925437674,-68.95751953009557,,,,,-1.212025657,-1.536718615,0.854400375,8.805112151,8.0,0
63,train,1,1,-31.86469715437053,-40.57495893831919,-8.710261783948663,-72.43965609268972,-2.005611893979591,-61.86469715437053,-70.57495893831918,,,,,-1.279339532,-1.537475331,1.044030651,9.004998612,8.0,0
64,train,1,1,-34.00059098591896,-41.951793212788374,-7.9512022268694125,-75.95238419870734,-1.8308319718970576,-64.00059098591896,-71.95179321278837,,,,,-1.325817664,-1.538199182,1.236931688,9.204890005,8.0,0
65,train,1,1,-35.67816675605306,-43.160528692484874,-7.482361936431815,-78.83869544853793,-1.7228775055213956,-65.67816675605306,-73.16052869248487,,,,,-1.359702994,-1.538892262,1.431782106,9.404786016,8.0,0
66,train,1,1,-37.060455286354454,-44.2021640338319,-7.141708747477445,-81.26261932018636,-1.6444392100446747,-67.06045528635445,-74.2021640338319,,,,,-1.385448377,-1.539556493,1.62788206,9.604686356,8.0,0
67,train,1,1,-38.19020144952818,-45.07239610973163,-6.882194660203446,-83.2625975592598,-1.5846838831667678,-68.19020144952819,-75.07239610973163,,,,,-1.405647649,-1.540193639,1.824828759,9.804590761,8.0,0
68,train,1,1,-39.1005252043395,-45.71865205971211,-6.618126855372616,-84.8191772640516,-1.5238800240724553,-69.1005252043395,-75.71865205971211,,,,,-1.421906379,-1.540805322,2.022374842,10.00449899,8.0,0
69,train,1,1,-39.85601282387767,-46.16184634019569,-6.3058335163180175,-86.01785916407336,-1.45197182535761,-69.85601282387768,-76.1618463401957,,,,,-1.435268613,-1.541393039,2.220360331,10.20441081,8.0,0
70,train,1,1,-40.47207556955908,-46.59555885159882,-6.123483282039736,-87.06763442115789,-1.4099841322422941,-70.47207556955908,-76.59555885159881,,,,,-1.446441332,-1.54195817,2.418677324,10.40432602,8.0,0
71,train,1,1,-40.9963287134353,-46.840296545430824,-5.843967831995528,-87.83662525886612,-1.3456233213889641,-70.9963287134353,-76.84029654543082,,,,,-1.455919721,-1.542501993,2.617250466,10.60424443,8.0,0
72,train,1,1,-41.40261433802853,-47.03334809738469,-5.630733759356161,-88.43596243541322,-1.296524361691182,-71.40261433802853,-77.03334809738469,,,,,-1.464060654,-1.54302569,2.816025568,10.80416586,8.0,0
73,train,1,1,-41.7134010346468,-47.2584215073632,-5.545020472716402,-88.97182254201,-1.2767881480823584,-71.71340103464681,-77.25842150736321,,,,,-1.471127674,-1.543530358,3.014962686,11.00409015,8.0,0
74,train,1,1,-41.96542884351586,-47.42321425130815,-5.457785407792294,-89.388643094824,-1.256701532074297,-71.96542884351587,-77.42321425130815,,,,,-1.477319546,-1.544017016,3.214031736,11.20401714,8.0,0
75,train,1,1,-42.196826878598486,-47.644715530924515,-5.447888652326029,-89.841542409523,-1.2544227199137328,-72.19682687859849,-77.64471553092451,,,,,-1.482788953,-1.54448661,3.413209633,11.40394669,8.0,0
76,train,1,1,-42.441251443275085,-47.87812395596042,-5.4368725126853334,-90.3193753992355,-1.251886160021833,-72.44125144327509,-77.87812395596042,,,,,-1.487655095,-1.544940021,3.612478374,11.60387866,8.0,0
77,train,1,1,-42.70025714300444,-47.95880017344075,-5.258543030436307,-90.6590573164452,-1.2108242792750379,-72.70025714300445,-77.95880017344075,,,,,-1.492012366,-1.545378074,3.811823711,11.80381294,8.0,0
78,train,1,1,-44.92144128304169,-43.85102783966865,1.0704134433730346,-88.77246912271033,0.24647180380511718,-74.92144128304169,-73.85102783966866,,,,,1.439968931,-1.452306368,3.832753579,4.229657197,8.0,0
79,train,1,1,-42.42603971206976,-42.74088367704952,-0.3148439649797581,-85.16692338911928,-0.07249550203815264,-72.42603971206975,-72.74088367704951,,,,,1.432790303,-1.457645345,3.634556369,4.428317965,8.0,0
80,train,1,1,-44.867823999320606,-41.73925197299174,3.128572026328868,-86.60707597231234,0.7203803310183022,-74.8678239993206,-71.73925197299174,,,,,1.424784069,-1.462525736,3.436568055,4.627094121,8.0,0
81,train,1,1,-45.60667306169737,-43.0189945437661,2.5876785179312733,-88.62566760546346,0.5958349980849476,-75.60667306169736,-73.0189945437661,,,,,1.415799585,-1.467003986,3.238826948,4.825971405,8.0,0
82,train,1,1,-42.541448048262716,-41.073489661227,1.467958387035715,-83.61493770948971,0.33800990991240215,-72.54144804826271,-71.073489661227,,,,,1.405647649,-1.471127674,3.041381265,5.024937811,8.0,0
83,train,1,1,-46.516951369518395,-41.580151954098866,4.936799415419529,-88.09710332361726,1.136740074104673,-76.5169513695184,-71.58015195409887,,,,,1.394087471,-1.47493718,2.844292531,5.223983155,8.0,0
84,train,1,1,-42.60427655549908,-40.59981844992337,2.004458105575708,-83.20409500542245,0.46154353534297055,-72.60427655549907,-70.59981844992336,,,,,1.380808039,-1.478466992,2.647640459,5.423098745,8.0,0
85,train,1,1,-46.00326278518962,-40.13676222949235,5.866500555697272,-86.14002501468197,1.350811672758982,-76.00326278518962,-70.13676222949235,,,,,1.365400938,-1.481746744,2.451530134,5.622277119,8.0,0
86,train,1,1,-43.88276691992658,-39.60887413611046,4.273892783816123,-83.49164105603704,0.9841001813069827,-73.88276691992658,-69.60887413611046,,,,,1.347319726,-1.484802036,2.256102835,5.821511831,8.0,0
87,train,1,1,-44.7755576649368,-38.497256950389925,6.278300714546873,-83.27281461532672,1.4456321634649498,-74.7755576649368,-68.49725695038993,,,,,1.325817664,-1.487655095,2.061552813,6.020797289,8.0,0
88,train,1,1,-43.67542707815276,-37.446961303167086,6.228465774985672,-81.12238838131984,1.4341572445705615,-73.67542707815275,-67.44696130316709,,,,,1.299849476,-1.490325316,1.868154169,6.220128616,8.0,0
89,train,1,1,-45.42118103266007,-35.769754267957396,9.651426764702677,-81.19093530061747,2.222323139452814,-75.42118103266007,-65.7697542679574,,,,,1.267911458,-1.492829693,1.676305461,6.419501538,8.0,0
90,train,1,1,-41.82434630440219,-33.58474332480825,8.23960297959394,-75.40908962921044,1.897238699300232,-71.82434630440218,-63.58474332480825,,,,,1.227772386,-1.495183184,1.486606875,6.618912297,8.0,0
91,train,1,1,-43.458234581220395,-31.010084012571532,12.448150568648863,-74.46831859379193,2.866292593471622,-73.4582345812204,-61.01008401257153,,,,,1.176005207,-1.497399001,1.3,6.818357573,8.0,0
92,train,1,1,-40.29188389127483,-27.78392524546932,12.507958645805509,-68.07580913674414,2.8800639121617753,-70.29188389127484,-57.78392524546932,,,,,1.107148718,-1.499488862,1.118033989,7.017834424,8.0,0
93,train,1,1,-36.783477261556385,-24.1209179561703,12.662559305386086,-60.90439521772669,2.915662029573504,-66.78347726155638,-54.1209179561703,,,,,1.012197011,-1.501463193,0.943398113,7.21734023,8.0,0
94,train,1,1,-33.93247922865805,-20.482535916657312,13.449943312000741,-54.415015145315365,3.0969638971827864,-63.93247922865805,-50.48253591665731,,,,,0.876058051,-1.503331302,0.781024968,7.416872656,8.0,0
95,train,1,1,-30.72111462255855,-20.087045756748196,10.634068865810352,-50.80816037930674,2.448584844828702,-60.721114622558545,-50.087045756748196,,,,,0.674740942,-1.505101525,0.640312424,7.61642961,8.0,0
96,train,1,1,-26.3656402963733,-13.215918200932855,13.149722095440445,-39.581558497306155,3.027835407397559,-56.3656402963733,-43.215918200932855,,,,,0.380506377,-1.506781349,0.538516481,7.816009212,8.0,0
97,train,1,1,-12.77210302261312,-12.653505919172737,0.11859710344038277,-25.425608941785857,0.027307992245409723,-42.77210302261312,-42.65350591917274,,,,,0.0,-1.508377517,0.5,8.015609771,8.0,0
98,train,1,1,-12.835868423845533,-25.277165603861466,-12.441297180015933,-38.113034027707,-2.8647145424213547,-42.83586842384553,-55.27716560386146,,,,,-0.380506377,-1.509896119,0.538516481,8.215229759,8.0,0
